,Role,basepk,speechtext,summary,stance
5,Opposition,4208353,"Friday, March 8, is International Women's Day. That day was first celebrated in 1914 to promote women's efforts to gain the right to vote.
 In Quebec, it was in 1971 that the first rally related to International Women's Day took place. On that occasion, people marched to allow women to have access to legal and free abortion, as demanded by the Front de libération des femmes.
 In 2002, this day is an opportunity to reflect on the social, economic and political demands of women throughout the world.
 Even though women can now vote and get an abortion, there are still many issues to be raised on March 8 of each year. Ensuring equal pay and decent parental leave, and following up on the demands of the world march of women are all measures that the federal government has refused to take.
 The Bloc Quebecois wants to pay tribute to the women who have built and who continue to build Quebec every day.","['even though women can now vote and get an abortion there are still many issues to be raised on march  of each year ', 'in quebec it was in  that the first rally related to international womens day took place ', 'on that occasion people marched to allow women to have access to legal and free abortion as demanded by the front de lib ration des femmes ']",1
6,Opposition,4250859,"today marks the sixth annual March for Life celebration on Parliament Hill. Earlier this afternoon, thousands of Canadians from coast to coast came together outside this Parliament building to affirm their commitment to the value of life from conception to natural death.
 Yesterday some members of parliament from all parties held a press conference in conjunction with this event. Women who shared the podium with us told of the harmful effects of abortion on their health and well-being.
 These women want the same standards of informed consent to exist for abortion as are required in other areas of health care. Strong reproductive health policy needs to recognize these concerns. Public policy needs to be based on the most current research available. This would be consistent with a commitment to excellence in women's health.
 I want to thank all those who are in town for the March for Life for keeping these issues before us while we legislate in this place.","['yesterday some members of parliament from all parties held a press conference in conjunction with this event ', 'earlier this afternoon thousands of canadians from coast to coast came together outside this parliament building to affirm their commitment to the value of life from conception to natural death ', 'i want to thank all those who are in town for the march for life for keeping these issues before us while we legislate in this place ']",0
7,Opposition,4278179,"thousands of Canadians have gathered on Parliament Hill for the annual March for Life. Addressing the crowd were Archbishop Gervais and Rabbi Bulka of Ottawa, various clergy and members of Parliament from both political parties.
 Tragically, surveys reveal that nearly half of the women who have abortions do so because of pressure from abusive or unsupportive boyfriends, husbands or family members. They feel betrayed by their doctors and medical personnel who do not tell them the truth about their babies or the high risk procedure they would undergo.
 Denise Mountenay and Linda Menon are here for the March for Life. These are courageous women who represent a group called Canada Silent No More. They spoke of their own suffering because of a procedure that they say was neither safe nor medically necessary. They are concerned about long term physical and emotional consequences of abortion.
 It is the women themselves who are asking us as parliamentarians to open our eyes, our ears, and our hearts to hear this cry for help. They are determined to be silent no more.","['they spoke of their own suffering because of a procedure that they say was neither safe nor medically necessary ', 'it is the women themselves who are asking us as parliamentarians to open our eyes our ears and our hearts to hear this cry for help ', 'they feel betrayed by their doctors and medical personnel who do not tell them the truth about their babies or the high risk procedure they would undergo ']",0
12483,Government,4296328,"we will soon have further proof that there is only one truly national party in this House.
 I would like, therefore, to wish my friends across the way the best of luck, on the eve of an important convention taking place in Montreal in a few days.
 The hon. member for Provencher will certainly agree with me that he will need it, after his recent prediction that the Quebec wing of his party would be taking a beating at the convention, because of positions only slightly more moderate.
 The Quebec wing of the official opposition is very likely to lose a few feathers when the ideology surrounding its leader reverts to extreme right positions on bilingualism, minority rights, abortion rights, climate change, public morals and service cuts to citizens.",['member for provencher will certainly agree with me that he will need it after his recent prediction that the quebec wing of his party would be taking a beating at the convention because of positions only slightly more moderate '],2
20568,Opposition,4373716,"last Thursday, for the first time in 50 years of space flight two women, Pamela Melroy and Peggy Whitson were commanders at the same time, one on the space shuttle Discovery, and the other at the International Space Station. 
 While women are soaring high in space, here on earth, in a country said to be the best in the world, the Conservative government wants to set them back 30 years.
 We send money to Afghanistan so that women can assert their rights, and that is a good thing. However, funding is being cut for women who want to defend their rights here. An honorary title was given to Aung San Suu Kyi for her courage, while the court challenges program was eliminated and an anti-abortion judge was appointed.
 These decisions are far from enabling women here to aim high. The minister should learn to take command, like her sisters in space, instead of snubbing the women who disagree with her.","['the minister should learn to take command like her sisters in space instead of snubbing the women who disagree with her ', 'while women are soaring high in space here on earth in a country said to be the best in the world the conservative government wants to set them back  years ', 'last thursday for the first time in  years of space flight two women pamela melroy and peggy whitson were commanders at the same time one on the space shuttle discovery and the other at the international space station ']",2
12674,Opposition,4376940,"the former Chief Justice of the Supreme Court, Antonio Lamer, passed away on the weekend. This criminal lawyer presided over the highest court of Canada for 10 years, from 1990 to 2000. He was renowned for major contributions to law reform and especially for his interpretation of the Canadian Charter of Rights and Freedoms.
 He was involved in the landmark ruling that decriminalized abortion and he handed down decisions on native law that, even today, serve as points of reference. He also presided over some very political cases, for example the reference on Quebec secession in which he recognized the federal obligation to negotiate.
 He was a founder of Quebec's Association des avocats de la défense and was the recipient of many awards including the Ordre du mérite from the University of Montreal. 
 My Bloc Québécois colleagues and I offer our sincere condolences to the family, friends and colleagues of Antonio Lamer.","['he was a founder of quebecs association des avocats de la d fense and was the recipient of many awards including the ordre du m rite from the university of montreal ', 'the former chief justice of the supreme court antonio lamer passed away on the weekend ', 'he was renowned for major contributions to law reform and especially for his interpretation of the canadian charter of rights and freedoms ']",2
8,Opposition,4381460,"this week marks the 20th anniversary of a very important ruling for women. In the Dr. Morgentaler case, the Supreme Court of Canada decriminalized abortion. 
 After a tough 20-year battle led by doctors and women's groups, this ruling finally allowed women to take control of their bodies and their pregnancies and to have access to safe abortion. Since then, they have had the freedom to choose.
 That is why any threat by this Conservative government to limit the right to abortion is a direct affront to women's rights. Bill C-484 by the hon. Conservative member for Edmonton—Sherwood Park opens the door to criminalizing abortion.
 We are against taking any steps backward. Abortion is a vested right ensuring the well-being and equality of women.","['after a tough  year battle led by doctors and womens groups this ruling finally allowed women to take control of their bodies and their pregnancies and to have access to safe abortion ', 'that is why any threat by this conservative government to limit the right to abortion is a direct affront to womens rights ', 'abortion is a vested right ensuring the well being and equality of women ']",1
9,Opposition,4381638,"January 28 was the 20th anniversary of the Supreme Court of Canada's Morgentaler decision, which decriminalized abortion in Canada. The legal decision was a victory for Canadian women. The court fully recognized that the law was unfair and that it presented unreasonable obstacles to women seeking abortions.
 While the Morgentaler decision is something to celebrate, women in Canada still face obstacles in accessing abortion services. The number of hospitals in Canada providing these services is declining and some provincial governments are violating the Canada Health Act by refusing to fund clinics, thus leaving women without the right to choose.
 The government is failing ordinary women in Canada by not ensuring equal and accessible abortion services. This is an equality issue and another example of the government's disregard for the welfare and rights of women.","['the court fully recognized that the law was unfair and that it presented unreasonable obstacles to women seeking abortions ', 'the number of hospitals in canada providing these services is declining and some provincial governments are violating the canada health act by refusing to fund clinics thus leaving women without the right to choose ', 'january  was the  anniversary of the supreme court of canadas morgentaler decision which decriminalized abortion in canada ']",1
10,Opposition,4387892,"March 8 is International Women's Day and will be celebrated this year with the theme, “Strong Women, Strong World”.
 To mark the occasion, I would like to commemorate the 20th anniversary of the decriminalization of abortion. Indeed, on January 28, 1988, in the Morgentaler decision, the Supreme Court declared section 251 of the Criminal Code unconstitutional because it infringed on women's rights to life, liberty and security. 
 This decision helped reduce the number of clandestine abortions, which were causing serious health problems for women, often even leading to women's deaths. Since the Morgentaler case, not a year goes by when the rights of women to exercise autonomy and free will are questioned, jeopardized, limited and even threatened. The Conservatives are the masters of this, as evidenced by Bill C-484.
 Vigilance is crucial with this backward-thinking government that has no other wish than to see the rights of women take a step back, even though they are strong women for a strong world.","['this decision helped reduce the number of clandestine abortions which were causing serious health problems for women often even leading to womens deaths ', 'to mark the occasion i would like to commemorate the  anniversary of the decriminalization of abortion ', 'march  is international womens day and will be celebrated this year with the theme strong women strong world ']",1
19843,Government,4394044,"I am really sad that the debate on my private member's bill, Bill C-484, has been so focused lately on misrepresentation of the facts. This is a totally pro-choice bill in the true meaning of that phrase. It explicitly does not apply to elective abortion. It applies to a woman who wants to have a baby. 
 There is a serious gap in the law that allows a criminal to violently take that choice and the child she wants away from her, against her will, without her consent, and with violence.
 People who support this bill understand the difference between a woman who goes to a doctor or clinic and says, “I'm pregnant and I don't want to be. Please help me”, and the woman who is lying on the floor while being attacked with a fist, boot, knife, sword or gun, who is crying, screaming and pleading for her life, and the life of the unborn child that she wants.
 Detractors of Bill C-484 can stand with the assailant if they wish, but I am standing with and for the woman and the child that she wants.","['please help me and the woman who is lying on the floor while being attacked with a fist boot knife sword or gun who is crying screaming and pleading for her life and the life of the unborn child that she wants ', 'people who support this bill understand the difference between a woman who goes to a doctor or clinic and says I am pregnant and i do not want to be ', 'this is a totally pro choice bill in the true meaning of that phrase ']",0
11,Opposition,4396173,"as we speak, a pro-choice demonstration is being held at the human rights monument on Elgin Street to counterbalance the March for Life, which was organized by pro-life groups and is taking place on Parliament Hill. These pro-life groups do not hesitate to recruit Catholic school children and bring them to the event. 
 Groups such as the Canadian Feminist Alliance for International Action and Planned Parenthood of Ottawa invited members of Parliament to participate in the pro-choice demonstration in order to show their support for women's freedom of choice regarding abortion and their opposition to Bill C-484—the bill that would extend rights to the fetus and could set women back 20 years. 
 The women of Quebec are no fools. They see the Conservatives' ploy, which could re-criminalize abortion instead of tackling the problem of violence against women. 
 I urge everyone here to show their opposition to Bill C-484 and to sign the Bloc Québécois' petition.","['as we speak a pro choice demonstration is being held at the human rights monument on elgin street to counterbalance the march for life which was organized by pro life groups and is taking place on parliament hill ', 'groups such as the canadian feminist alliance for international action and planned parenthood of ottawa invited members of parliament to participate in the pro choice demonstration in order to show their support for womens freedom of choice regarding abortion and their opposition to bill c  the bill that would extend rights to the fetus and could set women back  years ', 'these pro life groups do not hesitate to recruit catholic school children and bring them to the event ']",1
12,Opposition,4400129,"on June 1, hundreds of demonstrators took to the streets of Montreal to condemn Bill C-484, which threatens to reopen the abortion debate.
 Nearly 1,500 women and men of all ages from community organizations and various groups that support women's rights joined the march, which began in front of the clinic run by Dr. Morgentaler, a true icon in the fight to decriminalize abortion. My colleague from Laval and I were proud to take part in the march.
 The Prime Minister had promised not to reopen the abortion debate. Yet Bill C-484 breaks that promise. These are devious, hypocritical tactics to undermine women's dignity and basic rights.
 I invite people to condemn the Conservatives' hidden agenda by taking part in activities to protest Bill C-484 and signing the Bloc Québécois petition.","['on june  hundreds of demonstrators took to the streets of montreal to condemn bill c  which threatens to reopen the abortion debate ', 'morgentaler a true icon in the fight to decriminalize abortion ', 'these are devious hypocritical tactics to undermine womens dignity and basic rights ']",1
13,Opposition,4422335,"May 14, 2009, marks an important victory in the fight for women's rights. It is the 40th anniversary of the amendment of section 251 of the Criminal Code, which made abortion a crime.
 On May 14, 1969, women won the right, the freedom, the choice to have an abortion. Forty years later, despite these amendments to the Criminal Code, women must still fight for their rights. Since that historic day, some right-wing, anti-choice groups and some members of Parliament have tried repeatedly to take that right away.
 Today, we are telling them, loud and clear, that a woman's uterus belongs neither to the church, nor to members of Parliament, nor to their sexual partners. This often difficult choice is theirs, and theirs alone, to make. With them and for them, we will take a stand and continue to oppose any bill that could threaten this most basic of women's rights.","['it is the  anniversary of the amendment of section  of the criminal code which made abortion a crime ', 'since that historic day some right wing anti choice groups and some members of parliament have tried repeatedly to take that right away ', 'on may   women won the right the freedom the choice to have an abortion ']",1
20677,Opposition,4440005,"as chair of the Canadian Association of Parliamentarians on Population and Development, I have been proud to defend and represent Canada's policies abroad on women's equality rights, such as our commitment to the Cairo 94 program of action and the 2000 millennium development goals.
 Canada has had a strong reputation of upholding our United Nations pledges, especially on women's health and their right to choose. But now a Conservative member “commends Saskatoon doctors for promoting a climate for less abortion”.
 The Conservatives are also working hard to cut aid to organizations that promote women's health, like the International Planned Parenthood Federation.
 I call on the government to clarify its policy. Canada cannot achieve its millennium development goals in women's health and in reducing violence against women if the government continues to target these organizations and the dedicated professionals who work in the field of women's health in Canada and abroad.","['as chair of the canadian association of parliamentarians on population and development i have been proud to defend and represent canadas policies abroad on womens equality rights such as our commitment to the cairo  program of action and the  millennium development goals ', 'the conservatives are also working hard to cut aid to organizations that promote womens health like the international planned parenthood federation ', 'canada cannot achieve its millennium development goals in womens health and in reducing violence against women if the government continues to target these organizations and the dedicated professionals who work in the field of womens health in canada and abroad ']",2
20771,Opposition,4443771,"happy International Women's Day. This day is a celebration of women's achievements and it is also a day to reflect on what still needs to be achieved.
 In Canada and around the world, women are still told that their career or their personal safety depends on what they wear or how they act. Men who break traditional gender roles are told that they are less worthy. Girls do not receive adequate education respecting their bodies or their right to self-agency.
 Unsafe abortions are still a leading cause of maternal death worldwide, and here at home girls are growing up in a country where their federal legislature ranks 49th in the world for female representation.
 The status of women depends on female leadership in government and on both men and government who take the time to promote equality in their own lives and in the public domain. 
 Together we can make the future for all girls, as bright and as hopeful as possible.","['in canada and around the world women are still told that their career or their personal safety depends on what they wear or how they act ', 'unsafe abortions are still a leading because of maternal death worldwide and here at home girls are growing up in a country where their federal legislature ranks  in the world for female representation ', 'the status of women depends on female leadership in government and on both men and government who take the time to promote equality in their own lives and in the public domain ']",0
13687,Opposition,4447058,"yesterday the Liberals became Conservative accomplices by shooting themselves in the foot when it came time to have their motion passed. The motion would have forced the government to recognize the importance of contraception in improving maternal health in developing countries.
 The Liberals were not even able to ensure that their own motion passed. This is definitely not a step forward for women and maternal health.
 We certainly could not count on the Conservatives, who, with their misogyny and Reform ideologies on women's rights, deny that contraception can save lives.
 The Bloc Québécois is in favour of a maternal and child health initiative that includes, for women in developing countries, every family planning option, including contraception and abortion as a last resort. We will keep repeating this until it is included in the policy that the government intends to defend at the next G8 summit.","['we certainly could not count on the conservatives who with their misogyny and reform ideologies on womens rights deny that contraception can save lives ', 'we will keep repeating this until it is included in the policy that the government intends to defend at the next  summit ', 'the motion would have forced the government to recognize the importance of contraception in improving maternal health in developing countries ']",2
20780,Opposition,4449941,"I recently met with two representatives of women's centres in Berthier—Maskinongé—Avec des elles in Saint-Gabriel-de-Brandon and the Centre des femmes L'Héritage in Louiseville—to discuss the demands of the third World March of Women, which is taking place from March 8 to October 17, 2010.
 These women are calling on the Liberal government to guarantee women's right to decide whether or not to have children, which means maintaining and improving free, accessible abortion services. They also condemn the violence done to women during armed conflict.
 They are asking Canada to sign the United Nations Declaration on the Rights of Indigenous Peoples and implement the rights set out in the declaration, especially those of indigenous women and children. Lastly, they are demanding that the federal government recognize that water is a basic right and must be excluded from NAFTA.",['i recently met with two representatives of womens centres in berthier maskinong avec des elles in saint gabriel de brandon and the centre des femmes l h ritage in louiseville to discuss the demands of the third world march of women which is taking place from march  to october   '],1
8149,Opposition,4453519,"today, World Vision and other organizations are gathering on Parliament Hill to promote awareness of child and maternal health, which, as we know, is a very serious issue that affects the poorest regions in the world.
 The Bloc Québécois believes that if it truly wants to help these women, the Conservative government must adopt a strategy that takes in the full range of health care services these women are entitled to in terms of family planning, including access to contraception and abortion. These services play an integral role in the fight against infant and maternal mortality.
 Yet, according to a Conservative senator, it seems as though the more we talk about this, and the more we push the Conservatives to take action, the more this government will dig its heels in and turn this into a political issue that will overshadow the basic issue of maternal health.
 This reformist government must stop pushing its backwards ideology and must understand that what is good for women here is also good for women worldwide.",['today world vision and other organizations are gathering on parliament hill to promote awareness of child and maternal health which as we know is a very serious issue that affects the poorest regions in the world '],1
20794,Opposition,4453517,"this Sunday is Mother's Day. As we celebrate, mothers in other places across the globe are at risk. More than 300,000 women die each year due to pregnancy- or childbirth-related complications, yet maternal, newborn and child health accounts for only 3% of global aid.
 While New Democrats applaud that maternal and child health will be a priority at the G8 summit this June, it is disheartening to know that the government refuses to fund the services necessary for maternal and child health, including a complete range of family planning services that include access to safe abortion. The government has made it abundantly clear what services and initiatives it will not fund, but it has not been equally forthcoming about what it will fund.
 On Sunday, as we honour our mothers and caregivers, the greatest gift the government could give to women in Canada and around the world would be action. We have had enough empty promises. We need the fulfillment of these promises, concrete commitments and leadership to ensure the health of mothers and children here in Canada and around the world.","['while new democrats applaud that maternal and child health will be a priority at the  summit this june it is disheartening to know that the government refuses to fund the services necessary for maternal and child health including a complete range of family planning services that include access to safe abortion ', 'more than   women die each year due to pregnancy or childbirth related complications yet maternal newborn and child health accounts for only  of global aid ', 'on sunday as we honour our mothers and caregivers the greatest gift the government could give to women in canada and around the world would be action ']",2
15,Opposition,4456786,"the Minister for Status of Women and the Minister of International Cooperation have repeated all week that it is important to save the lives of women and children who are dying because of a lack of health care in developing countries. Yes, of course it is.
 However, on this International Day of Action for Women's Health, are these ministers aware that by failing to fund access to abortion for women in developing countries, they are allowing more than 70,000 women to die every year for lack of access to this service? Does this government not have any compassion for these women who are dying because of an excess of dogmatism.
 The Conservatives claim that they do not wish to reopen the abortion debate. However, backbenchers are at complete liberty to introduce bills limiting access to abortion, with the obvious approval of a Prime Minister who is obsessed with controlling everything.
 The Conservatives must listen to what Quebeckers and Canadians are telling them and fund access to abortion in developing countries, while maintaining this service—","['however on this international day of action for womens health are these ministers aware that by failing to fund access to abortion for women in developing countries they are allowing more than   women to die every year for lack of access to this service ', 'the minister for status of women and the minister of international cooperation have repeated all week that it is important to save the lives of women and children who are dying because of a lack of health care in developing countries ', 'does this government not have any compassion for these women who are dying because of an excess of dogmatism ']",1
