% 1. Title: statistics
%
% 2. Sources:
%      (a) Creator: visit-the-dome
%      (b) Date:    2019-06-17
%      (c) Corpus:  data/debatepedia/split/training
%

@RELATION  ArgumentativeDiscourseUnit-unitType

@ATTRIBUTE ContentLength_characters  NUMERIC
@ATTRIBUTE ContentLength_tokens  NUMERIC
@ATTRIBUTE class  {conclusion,premise}

@DATA
{0 0.06559, 1 0.0495, 2 conclusion}
{0 0.01733, 1 0.02475, 2 premise}
{0 0.18317, 1 0.14851, 2 premise}
{0 0.23762, 1 0.18317, 2 premise}
{0 0.06436, 1 0.04455, 2 conclusion}
{0 0.06436, 1 0.0396, 2 conclusion}
{0 0.125, 1 0.09406, 2 premise}
{0 0.0755, 1 0.0495, 2 conclusion}
{0 0.13119, 1 0.11386, 2 premise}
{0 0.05817, 1 0.0495, 2 conclusion}
{0 0.30817, 1 0.19802, 2 premise}
{0 0.17822, 1 0.14356, 2 premise}
{0 0.20297, 1 0.13366, 2 premise}
{0 0.06064, 1 0.05446, 2 conclusion}
{0 0.0953, 1 0.06931, 2 premise}
{0 0.16584, 1 0.11881, 2 premise}
{0 0.04579, 1 0.03465, 2 premise}
{0 0.16089, 1 0.10891, 2 premise}
{0 0.10767, 1 0.08911, 2 premise}
{0 0.06312, 1 0.07426, 2 premise}
{0 0.10149, 1 0.07921, 2 premise}
{0 0.26238, 1 0.18812, 2 premise}
{0 0.05941, 1 0.03465, 2 conclusion}
{0 0.09035, 1 0.08911, 2 premise}
{0 0.125, 1 0.11386, 2 premise}
{0 0.16213, 1 0.11881, 2 premise}
{0 0.10767, 1 0.07921, 2 premise}
{0 0.10149, 1 0.06931, 2 premise}
{0 0.07178, 1 0.0495, 2 conclusion}
{0 0.29579, 1 0.21782, 2 premise}
{0 0.24629, 1 0.18317, 2 premise}
{0 0.05817, 1 0.0396, 2 conclusion}
{0 0.20792, 1 0.13861, 2 premise}
{0 0.24381, 1 0.18317, 2 premise}
{0 0.05693, 1 0.05446, 2 conclusion}
{0 0.05817, 1 0.05941, 2 premise}
{0 0.08416, 1 0.07426, 2 conclusion}
{0 0.24752, 1 0.19307, 2 premise}
{0 0.09653, 1 0.07426, 2 premise}
{0 0.06559, 1 0.0396, 2 conclusion}
{0 0.01856, 1 0.01485, 2 premise}
{0 0.58416, 1 0.42079, 2 premise}
{0 0.0495, 1 0.04455, 2 premise}
{0 0.06312, 1 0.0396, 2 conclusion}
{0 0.01733, 1 0.01485, 2 premise}
{0 0.10272, 1 0.06436, 2 premise}
{0 0.14604, 1 0.09406, 2 premise}
{0 0.27599, 1 0.21782, 2 premise}
{0 0.01733, 1 0.01485, 2 premise}
{0 0.19183, 1 0.13366, 2 premise}
{0 0.17946, 1 0.16337, 2 premise}
{0 0.11262, 1 0.09406, 2 premise}
{0 0.10767, 1 0.07921, 2 premise}
{0 0.1349, 1 0.09406, 2 premise}
{0 0.05941, 1 0.0495, 2 premise}
{0 0.09653, 1 0.05941, 2 premise}
{0 0.16089, 1 0.11881, 2 premise}
{0 0.13861, 1 0.09901, 2 premise}
{0 0.06683, 1 0.0396, 2 conclusion}
{0 0.38119, 1 0.26238, 2 premise}
{0 0.06064, 1 0.04455, 2 conclusion}
{0 0.28218, 1 0.20792, 2 premise}
{0 0.17079, 1 0.13366, 2 premise}
{0 0.25371, 1 0.19307, 2 premise}
{0 0.08045, 1 0.0396, 2 conclusion}
{0 0.25866, 1 0.18812, 2 premise}
{0 0.26114, 1 0.16337, 2 premise}
{0 0.06559, 1 0.05941, 2 conclusion}
{0 0.60767, 1 0.4703, 2 premise}
{0 0.06436, 1 0.05446, 2 premise}
{0 0.0755, 1 0.05941, 2 conclusion}
{0 0.19431, 1 0.13861, 2 premise}
{0 0.06559, 1 0.0297, 2 conclusion}
{0 0.25743, 1 0.19307, 2 premise}
{0 0.06807, 1 0.0396, 2 conclusion}
{0 0.18317, 1 0.13861, 2 premise}
{0 0.07673, 1 0.04455, 2 conclusion}
{0 0.40718, 1 0.29208, 2 premise}
{0 0.05693, 1 0.04455, 2 conclusion}
{0 0.36015, 1 0.22772, 2 premise}
{0 0.25619, 1 0.23762, 2 premise}
{0 0.0854, 1 0.0495, 2 conclusion}
{0 0.06436, 1 0.0297, 2 conclusion}
{0 0.44059, 1 0.32673, 2 premise}
{0 0.42574, 1 0.31188, 2 premise}
{0 0.06931, 1 0.03465, 2 conclusion}
{0 0.37748, 1 0.33168, 2 premise}
{0 0.16832, 1 0.12376, 2 premise}
{0 0.08292, 1 0.0495, 2 conclusion}
{0 0.11262, 1 0.09901, 2 premise}
{0 0.18564, 1 0.11881, 2 premise}
{0 0.30322, 1 0.22772, 2 premise}
{0 0.25248, 1 0.19802, 2 premise}
{0 0.1052, 1 0.06931, 2 premise}
{0 0.12871, 1 0.09901, 2 premise}
{0 0.22277, 1 0.17822, 2 premise}
{0 0.21163, 1 0.13861, 2 premise}
{0 0.19926, 1 0.14851, 2 premise}
{0 0.06683, 1 0.05446, 2 conclusion}
{0 0.06931, 1 0.04455, 2 conclusion}
{0 0.01856, 1 0.01485, 2 premise}
{0 0.41584, 1 0.30198, 2 premise}
{0 0.27599, 1 0.20297, 2 premise}
{0 0.13243, 1 0.09901, 2 premise}
{0 0.11015, 1 0.09901, 2 premise}
{0 0.18564, 1 0.14851, 2 premise}
{0 0.07797, 1 0.05941, 2 conclusion}
{0 0.44307, 1 0.35644, 2 premise}
{0 0.16708, 1 0.14356, 2 premise}
{0 0.06436, 1 0.0495, 2 conclusion}
{0 0.15718, 1 0.14356, 2 premise}
{0 0.22896, 1 0.16337, 2 premise}
{0 0.05941, 1 0.04455, 2 conclusion}
{0 0.30693, 1 0.21782, 2 premise}
{0 0.37995, 1 0.26238, 2 premise}
{0 0.10644, 1 0.07921, 2 premise}
{0 0.06683, 1 0.03465, 2 conclusion}
{0 0.16089, 1 0.11386, 2 premise}
{0 0.2896, 1 0.21287, 2 premise}
{0 0.19307, 1 0.16832, 2 premise}
{0 0.11015, 1 0.08416, 2 premise}
{0 0.23762, 1 0.17822, 2 premise}
{0 0.11634, 1 0.07921, 2 conclusion}
{0 0.08168, 1 0.05446, 2 premise}
{0 0.04332, 1 0.02475, 2 conclusion}
{0 0.21906, 1 0.16337, 2 premise}
{0 0.11386, 1 0.07921, 2 premise}
{0 0.25371, 1 0.18812, 2 premise}
{0 0.10891, 1 0.08911, 2 premise}
{0 0.06559, 1 0.05446, 2 premise}
{0 0.09901, 1 0.10891, 2 premise}
{0 0.02228, 1 0.03465, 2 premise}
{0 0.14356, 1 0.09901, 2 premise}
{0 0.12624, 1 0.10396, 2 premise}
{0 0.07921, 1 0.04455, 2 premise}
{0 0.15099, 1 0.11881, 2 premise}
{0 0.2698, 1 0.23762, 2 premise}
{0 0.04084, 1 0.02475, 2 conclusion}
{0 0.16584, 1 0.11881, 2 premise}
{0 0.18193, 1 0.12376, 2 premise}
{0 0.21535, 1 0.17327, 2 premise}
{0 0.24257, 1 0.17822, 2 premise}
{0 0.09901, 1 0.07426, 2 premise}
{0 0.17822, 1 0.14851, 2 premise}
{0 0.08045, 1 0.0495, 2 conclusion}
{0 0.0854, 1 0.06436, 2 conclusion}
{0 0.16337, 1 0.13861, 2 premise}
{0 0.19059, 1 0.14851, 2 premise}
{0 0.0755, 1 0.06931, 2 conclusion}
{0 0.12995, 1 0.07921, 2 premise}
{0 0.27847, 1 0.22772, 2 premise}
{0 0.0755, 1 0.06931, 2 conclusion}
{0 0.21287, 1 0.18317, 2 premise}
{0 0.01733, 1 0.01485, 2 premise}
{0 0.23639, 1 0.18812, 2 premise}
{0 0.07178, 1 0.04455, 2 conclusion}
{0 0.20545, 1 0.15842, 2 premise}
{0 0.27351, 1 0.22772, 2 premise}
{0 0.06683, 1 0.0396, 2 conclusion}
{0 0.15718, 1 0.12871, 2 premise}
{0 0.23639, 1 0.17327, 2 premise}
{0 0.01856, 1 0.0198, 2 premise}
{0 0.16832, 1 0.11881, 2 premise}
{0 0.28589, 1 0.19307, 2 premise}
{0 0.20297, 1 0.15347, 2 premise}
{0 0.07054, 1 0.05941, 2 conclusion}
{0 0.07673, 1 0.06931, 2 premise}
{0 0.17946, 1 0.12871, 2 premise}
{0 0.16708, 1 0.13861, 2 premise}
{0 0.06188, 1 0.0396, 2 conclusion}
{0 0.20173, 1 0.13366, 2 premise}
{0 0.14109, 1 0.10396, 2 premise}
{0 0.13119, 1 0.09406, 2 premise}
{0 0.11139, 1 0.09406, 2 premise}
{0 0.08045, 1 0.04455, 2 conclusion}
{0 0.13614, 1 0.09901, 2 premise}
{0 0.18564, 1 0.13366, 2 premise}
{0 0.08416, 1 0.0495, 2 conclusion}
{0 0.09901, 1 0.09406, 2 premise}
{0 0.27847, 1 0.21287, 2 premise}
{0 0.26856, 1 0.20297, 2 premise}
{0 0.08787, 1 0.07426, 2 conclusion}
{0 0.13861, 1 0.11386, 2 premise}
{0 0.07797, 1 0.05446, 2 conclusion}
{0 0.18069, 1 0.12376, 2 premise}
{0 0.10025, 1 0.08911, 2 premise}
{0 0.12129, 1 0.09406, 2 premise}
{0 0.0755, 1 0.0495, 2 conclusion}
{0 0.16213, 1 0.14851, 2 premise}
{0 0.2005, 1 0.17822, 2 premise}
{0 0.08416, 1 0.05941, 2 conclusion}
{0 0.23391, 1 0.18317, 2 premise}
{0 0.07921, 1 0.06931, 2 premise}
{0 0.05074, 1 0.04455, 2 conclusion}
{0 0.13119, 1 0.09901, 2 premise}
{0 0.05198, 1 0.0495, 2 conclusion}
{0 0.2005, 1 0.16337, 2 premise}
{0 0.18193, 1 0.13366, 2 premise}
{0 0.07921, 1 0.05941, 2 premise}
{0 0.15965, 1 0.13366, 2 premise}
{0 0.12005, 1 0.08911, 2 premise}
{0 0.27351, 1 0.19802, 2 premise}
{0 0.06188, 1 0.03465, 2 conclusion}
{0 0.25495, 1 0.19802, 2 premise}
{0 0.07673, 1 0.0495, 2 conclusion}
{0 0.07426, 1 0.06931, 2 premise}
{0 0.08663, 1 0.06931, 2 conclusion}
{0 0.37871, 1 0.28218, 2 premise}
{0 0.09901, 1 0.07426, 2 premise}
{0 0.16337, 1 0.14356, 2 premise}
{0 0.23267, 1 0.16337, 2 premise}
{0 0.0755, 1 0.04455, 2 conclusion}
{0 0.07797, 1 0.05446, 2 conclusion}
{0 0.25619, 1 0.19307, 2 premise}
{0 0.06312, 1 0.0495, 2 premise}
{0 0.16337, 1 0.13861, 2 premise}
{0 0.3354, 1 0.24257, 2 premise}
{0 0.14356, 1 0.10396, 2 premise}
{0 0.07054, 1 0.0495, 2 conclusion}
{0 0.15099, 1 0.11386, 2 premise}
{0 0.22772, 1 0.16337, 2 premise}
{0 0.07797, 1 0.05446, 2 conclusion}
{0 0.33787, 1 0.23267, 2 premise}
{0 0.07921, 1 0.05446, 2 conclusion}
{0 0.22525, 1 0.15842, 2 premise}
{0 0.08416, 1 0.08911, 2 conclusion}
{0 0.10644, 1 0.09406, 2 premise}
{0 0.15594, 1 0.10396, 2 premise}
{0 0.15842, 1 0.10891, 2 premise}
{0 0.10396, 1 0.08416, 2 premise}
{0 0.10767, 1 0.09406, 2 premise}
{0 0.12129, 1 0.11386, 2 premise}
{0 0.07921, 1 0.04455, 2 conclusion}
{0 0.24752, 1 0.20297, 2 premise}
{0 0.26733, 1 0.21287, 2 premise}
{0 0.06931, 1 0.04455, 2 conclusion}
{0 0.07426, 1 0.05446, 2 premise}
{0 0.19183, 1 0.13366, 2 premise}
{0 0.12005, 1 0.10396, 2 premise}
{0 0.50743, 1 0.35149, 2 premise}
{0 0.18564, 1 0.15347, 2 premise}
{0 0.08045, 1 0.05446, 2 conclusion}
{0 0.11386, 1 0.07921, 2 premise}
{0 0.09406, 1 0.07426, 2 premise}
{0 0.08416, 1 0.05941, 2 premise}
{0 0.11634, 1 0.08416, 2 premise}
{0 0.08663, 1 0.05941, 2 premise}
{0 0.06931, 1 0.0495, 2 conclusion}
{0 0.12995, 1 0.09406, 2 premise}
{0 0.06807, 1 0.05446, 2 conclusion}
{0 0.24505, 1 0.21782, 2 premise}
{0 0.14975, 1 0.10891, 2 premise}
{0 0.30941, 1 0.29703, 2 premise}
{0 0.04579, 1 0.0396, 2 premise}
{0 0.07426, 1 0.0495, 2 conclusion}
{0 0.07054, 1 0.0495, 2 premise}
{0 0.31559, 1 0.24752, 2 premise}
{0 0.06436, 1 0.0396, 2 conclusion}
{0 0.29455, 1 0.22277, 2 premise}
{0 0.0953, 1 0.06436, 2 premise}
{0 0.06931, 1 0.0495, 2 conclusion}
{0 0.24752, 1 0.19307, 2 premise}
{0 0.20545, 1 0.16337, 2 premise}
{0 0.13738, 1 0.08416, 2 premise}
{0 0.10396, 1 0.06931, 2 premise}
{0 0.22896, 1 0.17822, 2 premise}
{0 0.08911, 1 0.05941, 2 premise}
{0 0.19059, 1 0.14851, 2 premise}
{0 0.12129, 1 0.10891, 2 premise}
{0 0.06559, 1 0.0495, 2 premise}
{0 0.14233, 1 0.10891, 2 premise}
{0 0.05074, 1 0.02475, 2 conclusion}
{0 0.08292, 1 0.06436, 2 premise}
{0 0.25495, 1 0.19802, 2 premise}
{0 0.06064, 1 0.03465, 2 conclusion}
{0 1.0, 1 0.75248, 2 premise}
{0 0.10149, 1 0.06931, 2 premise}
{0 0.07673, 1 0.0495, 2 conclusion}
{0 0.08787, 1 0.07921, 2 premise}
{0 0.06064, 1 0.0396, 2 premise}
{0 0.06807, 1 0.0495, 2 premise}
{0 0.21782, 1 0.17822, 2 premise}
{0 0.08787, 1 0.07426, 2 premise}
{0 0.12252, 1 0.11386, 2 premise}
{0 0.07426, 1 0.0495, 2 conclusion}
{0 0.18441, 1 0.12376, 2 premise}
{0 0.14728, 1 0.12871, 2 premise}
{0 0.23886, 1 0.15842, 2 premise}
{0 0.11881, 1 0.09901, 2 premise}
{0 0.1349, 1 0.10396, 2 premise}
{0 0.10767, 1 0.07921, 2 premise}
{0 0.13366, 1 0.11386, 2 premise}
{0 0.06931, 1 0.0396, 2 conclusion}
{0 0.14109, 1 0.12376, 2 premise}
{0 0.12005, 1 0.06931, 2 premise}
{0 0.05693, 1 0.0495, 2 premise}
{0 0.04084, 1 0.0396, 2 premise}
{0 0.07178, 1 0.04455, 2 conclusion}
{0 0.30693, 1 0.27228, 2 premise}
{0 0.06064, 1 0.04455, 2 premise}
{0 0.0297, 1 0.0297, 2 premise}
{0 0.04084, 1 0.03465, 2 premise}
{0 0.0755, 1 0.05941, 2 conclusion}
{0 0.16708, 1 0.13366, 2 premise}
{0 0.09653, 1 0.09406, 2 conclusion}
{0 0.23144, 1 0.16832, 2 premise}
{0 0.10272, 1 0.10891, 2 premise}
{0 0.12252, 1 0.10396, 2 premise}
{0 0.02723, 1 0.02475, 2 premise}
{0 0.08416, 1 0.08416, 2 premise}
{0 0.07054, 1 0.06436, 2 conclusion}
{0 0.53218, 1 0.41584, 2 premise}
{0 0.26238, 1 0.21287, 2 premise}
{0 0.13614, 1 0.11386, 2 premise}
{0 0.10767, 1 0.09901, 2 premise}
{0 0.21906, 1 0.15347, 2 premise}
{0 0.1547, 1 0.11386, 2 premise}
{0 0.06312, 1 0.07426, 2 conclusion}
{0 0.03589, 1 0.03465, 2 premise}
{0 0.06931, 1 0.04455, 2 conclusion}
{0 0.20668, 1 0.16832, 2 premise}
{0 0.07797, 1 0.05941, 2 conclusion}
{0 0.08787, 1 0.09406, 2 premise}
{0 0.05817, 1 0.04455, 2 premise}
{0 0.05198, 1 0.04455, 2 premise}
{0 0.07797, 1 0.05941, 2 conclusion}
{0 0.25743, 1 0.23267, 2 premise}
{0 0.06436, 1 0.04455, 2 conclusion}
{0 0.11386, 1 0.09901, 2 premise}
{0 0.28837, 1 0.19802, 2 premise}
{0 0.15223, 1 0.10396, 2 premise}
{0 0.08292, 1 0.05446, 2 conclusion}
{0 0.10272, 1 0.10891, 2 premise}
{0 0.02723, 1 0.02475, 2 premise}
{0 0.08416, 1 0.08416, 2 premise}
{0 0.2203, 1 0.17822, 2 premise}
{0 0.05941, 1 0.04455, 2 conclusion}
{0 0.3255, 1 0.27228, 2 premise}
{0 0.08045, 1 0.06931, 2 premise}
{0 0.07302, 1 0.05941, 2 conclusion}
{0 0.28713, 1 0.22772, 2 premise}
{0 0.16708, 1 0.15347, 2 premise}
{0 0.22649, 1 0.20297, 2 premise}
{0 0.0495, 1 0.02475, 2 conclusion}
{0 0.08292, 1 0.06436, 2 premise}
{0 0.07302, 1 0.04455, 2 conclusion}
{0 0.07797, 1 0.05941, 2 premise}
{0 0.09777, 1 0.07921, 2 premise}
{0 0.05322, 1 0.04455, 2 premise}
{0 0.04084, 1 0.03465, 2 premise}
{0 0.05074, 1 0.04455, 2 premise}
{0 0.19926, 1 0.15842, 2 premise}
{0 0.08292, 1 0.07426, 2 conclusion}
{0 0.05446, 1 0.0396, 2 conclusion}
{0 0.375, 1 0.30198, 2 premise}
{0 0.07673, 1 0.0495, 2 conclusion}
{0 0.20916, 1 0.17327, 2 premise}
{0 0.28589, 1 0.23267, 2 premise}
{0 0.07426, 1 0.0495, 2 conclusion}
{0 0.09901, 1 0.08911, 2 premise}
{0 0.11634, 1 0.10396, 2 premise}
{0 0.09406, 1 0.06931, 2 premise}
{0 0.19183, 1 0.18317, 2 premise}
{0 0.13738, 1 0.10396, 2 premise}
{0 0.09653, 1 0.07921, 2 premise}
{0 0.06683, 1 0.05446, 2 conclusion}
{0 0.20916, 1 0.16337, 2 premise}
{0 0.19431, 1 0.14356, 2 premise}
{0 0.11015, 1 0.08416, 2 conclusion}
{0 0.05446, 1 0.0495, 2 premise}
{0 0.16584, 1 0.13861, 2 premise}
{0 0.23515, 1 0.16337, 2 premise}
{0 0.14233, 1 0.10891, 2 premise}
{0 0.06559, 1 0.0396, 2 conclusion}
{0 0.13119, 1 0.09406, 2 premise}
{0 0.07797, 1 0.05446, 2 premise}
{0 0.06559, 1 0.04455, 2 conclusion}
{0 0.07426, 1 0.05446, 2 premise}
{0 0.10272, 1 0.08416, 2 premise}
{0 0.15223, 1 0.11881, 2 premise}
{0 0.27847, 1 0.19307, 2 premise}
{0 0.09406, 1 0.08416, 2 premise}
{0 0.25495, 1 0.19307, 2 premise}
{0 0.05446, 1 0.04455, 2 conclusion}
{0 0.14356, 1 0.09406, 2 premise}
{0 0.08911, 1 0.06931, 2 premise}
{0 0.13861, 1 0.09901, 2 premise}
{0 0.16337, 1 0.12871, 2 premise}
{0 0.06683, 1 0.04455, 2 conclusion}
{0 0.08168, 1 0.0495, 2 conclusion}
{0 0.12376, 1 0.09901, 2 premise}
{0 0.12252, 1 0.09901, 2 premise}
{0 0.06436, 1 0.0396, 2 conclusion}
{0 0.17079, 1 0.14356, 2 premise}
{0 0.10149, 1 0.08416, 2 premise}
{0 0.09406, 1 0.05941, 2 conclusion}
{0 0.10644, 1 0.08416, 2 premise}
{0 0.12748, 1 0.12376, 2 premise}
{0 0.12995, 1 0.09901, 2 premise}
{0 0.03218, 1 0.0297, 2 premise}
{0 0.24257, 1 0.17822, 2 premise}
{0 0.06807, 1 0.06436, 2 conclusion}
{0 0.17946, 1 0.14356, 2 premise}
{0 0.13119, 1 0.12376, 2 premise}
{0 0.07673, 1 0.05446, 2 conclusion}
{0 0.07797, 1 0.06436, 2 premise}
{0 0.26361, 1 0.21287, 2 premise}
{0 0.14604, 1 0.12871, 2 premise}
{0 0.16708, 1 0.11881, 2 premise}
{0 0.23639, 1 0.18812, 2 premise}
{0 0.08292, 1 0.06931, 2 premise}
{0 0.10396, 1 0.07426, 2 premise}
{0 0.19183, 1 0.17327, 2 premise}
{0 0.05693, 1 0.04455, 2 conclusion}
{0 0.18564, 1 0.15842, 2 premise}
{0 0.07302, 1 0.05446, 2 premise}
{0 0.08663, 1 0.06436, 2 premise}
{0 0.07797, 1 0.06931, 2 premise}
{0 0.08663, 1 0.07921, 2 premise}
{0 0.05693, 1 0.0495, 2 premise}
{0 0.16584, 1 0.11881, 2 premise}
{0 0.02723, 1 0.02475, 2 premise}
{0 0.10149, 1 0.07921, 2 premise}
{0 0.09282, 1 0.06931, 2 conclusion}
{0 0.08787, 1 0.06436, 2 premise}
{0 0.06931, 1 0.06436, 2 premise}
{0 0.08045, 1 0.06931, 2 conclusion}
{0 0.04579, 1 0.0495, 2 conclusion}
{0 0.10149, 1 0.06931, 2 premise}
{0 0.16955, 1 0.13366, 2 premise}
{0 0.07797, 1 0.0495, 2 conclusion}
{0 0.11386, 1 0.08911, 2 premise}
{0 0.05941, 1 0.0396, 2 conclusion}
{0 0.0495, 1 0.04455, 2 premise}
{0 0.15718, 1 0.13366, 2 premise}
{0 0.05322, 1 0.05446, 2 premise}
{0 0.14109, 1 0.09901, 2 premise}
{0 0.21782, 1 0.17327, 2 premise}
{0 0.15347, 1 0.10891, 2 premise}
{0 0.1151, 1 0.07921, 2 premise}
{0 0.06807, 1 0.05446, 2 conclusion}
{0 0.0953, 1 0.07426, 2 premise}
{0 0.14975, 1 0.10891, 2 premise}
{0 0.18936, 1 0.18812, 2 premise}
{0 0.07426, 1 0.06436, 2 conclusion}
{0 0.18936, 1 0.12871, 2 premise}
{0 0.17822, 1 0.13366, 2 premise}
{0 0.08787, 1 0.06931, 2 premise}
{0 0.0495, 1 0.0396, 2 conclusion}
{0 0.12005, 1 0.08911, 2 premise}
{0 0.09158, 1 0.06931, 2 conclusion}
{0 0.10025, 1 0.07426, 2 premise}
{0 0.08911, 1 0.06436, 2 premise}
{0 0.08168, 1 0.07426, 2 premise}
{0 0.08045, 1 0.05446, 2 conclusion}
{0 0.22896, 1 0.16337, 2 premise}
{0 0.13985, 1 0.09406, 2 premise}
{0 0.06807, 1 0.0396, 2 conclusion}
{0 0.12748, 1 0.08416, 2 premise}
{0 0.05446, 1 0.03465, 2 premise}
{0 0.16955, 1 0.12871, 2 premise}
{0 0.07302, 1 0.06436, 2 premise}
{0 0.13614, 1 0.09406, 2 premise}
{0 0.05198, 1 0.04455, 2 premise}
{0 0.12252, 1 0.07921, 2 premise}
{0 0.24381, 1 0.17327, 2 premise}
{0 0.05941, 1 0.04455, 2 conclusion}
{0 0.09158, 1 0.06931, 2 premise}
{0 0.07673, 1 0.05446, 2 conclusion}
{0 0.28713, 1 0.20792, 2 premise}
{0 0.25371, 1 0.16832, 2 premise}
{0 0.10396, 1 0.08416, 2 conclusion}
{0 0.14604, 1 0.12376, 2 premise}
{0 0.13366, 1 0.11386, 2 premise}
{0 0.11757, 1 0.07921, 2 premise}
{0 0.07302, 1 0.0495, 2 conclusion}
{0 0.07054, 1 0.04455, 2 conclusion}
{0 0.09653, 1 0.06931, 2 conclusion}
{0 0.10025, 1 0.07426, 2 premise}
{0 0.08911, 1 0.06436, 2 premise}
{0 0.08168, 1 0.07426, 2 premise}
{0 0.11139, 1 0.09406, 2 conclusion}
{0 0.20792, 1 0.15842, 2 premise}
{0 0.10396, 1 0.05941, 2 premise}
{0 0.08168, 1 0.05941, 2 conclusion}
{0 0.12005, 1 0.08416, 2 premise}
{0 0.26114, 1 0.22772, 2 premise}
{0 0.10396, 1 0.06931, 2 premise}
{0 0.16337, 1 0.12376, 2 premise}
{0 0.14233, 1 0.12376, 2 premise}
{0 0.11015, 1 0.08416, 2 premise}
{0 0.03218, 1 0.0297, 2 premise}
{0 0.20421, 1 0.17327, 2 premise}
{0 0.07797, 1 0.05941, 2 conclusion}
{0 0.15965, 1 0.13366, 2 premise}
{0 0.07797, 1 0.0495, 2 conclusion}
{0 0.22525, 1 0.15347, 2 premise}
{0 0.10644, 1 0.09406, 2 conclusion}
{0 0.17574, 1 0.14356, 2 premise}
{0 0.26238, 1 0.19307, 2 premise}
{0 0.06683, 1 0.05941, 2 conclusion}
{0 0.09282, 1 0.07921, 2 premise}
{0 0.11015, 1 0.09901, 2 premise}
{0 0.04579, 1 0.0495, 2 premise}
{0 0.08787, 1 0.0495, 2 conclusion}
{0 0.33911, 1 0.22772, 2 premise}
{0 0.19307, 1 0.12871, 2 premise}
{0 0.16832, 1 0.12376, 2 premise}
{0 0.09653, 1 0.07426, 2 conclusion}
{0 0.12624, 1 0.09406, 2 premise}
{0 0.10891, 1 0.09406, 2 premise}
{0 0.10767, 1 0.07921, 2 conclusion}
{0 0.09901, 1 0.09406, 2 premise}
{0 0.13861, 1 0.10396, 2 premise}
{0 0.15099, 1 0.10396, 2 premise}
{0 0.10891, 1 0.07921, 2 conclusion}
{0 0.13738, 1 0.10396, 2 premise}
{0 0.08663, 1 0.09901, 2 premise}
{0 0.2203, 1 0.16832, 2 premise}
{0 0.0854, 1 0.05446, 2 conclusion}
{0 0.07302, 1 0.05941, 2 premise}
{0 0.21906, 1 0.18317, 2 premise}
{0 0.09406, 1 0.06436, 2 premise}
{0 0.07673, 1 0.06436, 2 conclusion}
{0 0.11757, 1 0.08911, 2 premise}
{0 0.09406, 1 0.07921, 2 premise}
{0 0.0953, 1 0.06931, 2 premise}
{0 0.08045, 1 0.05446, 2 conclusion}
{0 0.07921, 1 0.06436, 2 conclusion}
{0 0.11634, 1 0.07921, 2 premise}
{0 0.08787, 1 0.07426, 2 premise}
