argument_id|topic|unitType|content
15| $700 billion US economic bailout|premise|"""our economy is not a shining example of pure unfettered market forces."
16| $700 billion US economic bailout|conclusion|Deregulation and free-market ideologies caused US economic crisis.
16| $700 billion US economic bailout|premise|"""the other lesson  was the one ""we"" forgot -- not to let banks and other financial institutions turn themselves into casinos."
17| $700 billion US economic bailout|conclusion|$700b plan is very unfortunate, but is a necessary evil.
17| $700 billion US economic bailout|premise|"""Taxpayers could soon be gobsmacked by a $700 billion rescue of the American economy."
18| $700 billion US economic bailout|conclusion|$700b plan and intervention in markets worsens problems.
18| $700 billion US economic bailout|premise|"""We do not support government bailouts of private institutions."
19| $700 billion US economic bailout|conclusion|Too much regulation, not too little, caused US economic crisis.
19| $700 billion US economic bailout|premise|"""while the mortgage crisis convulsing Wall Street has its share of private-sector culprits they weren't the ones who 'got us into this mess."
20| $700 billion US economic bailout|conclusion|$700b bailout is slippery slope to socialism.
20| $700 billion US economic bailout|premise|Rep.
21| $700 billion US economic bailout|conclusion|Needed bail-out won't undermine lessons of US financial crisis.
21| $700 billion US economic bailout|premise|"""By rescuing Wall Street tycoons who succumbed to the lure of an irrationally exuberant housing bubble, the bailouts today do pose something of a moral-hazard problem."
22| $700 billion US economic bailout|conclusion|$700b plan bails-out risk-takers who need to learn lesson.
22| $700 billion US economic bailout|premise|"""For 200 years, the 'business model' in our country has rested on a simple fact: that while one may reap rewards from taking risks, one should also be prepared to face the consequences of those risks."
23| $700 billion US economic bailout|conclusion|$700b is no Wallstreet giveaway, but a taxpayer investment.
23| $700 billion US economic bailout|premise|The nature of the $700b bailout does not, by its nature, bailout Wallstreet fat-cats.
24| $700 billion US economic bailout|conclusion|$700b plan saves economy and taxpayers, not just Wallstreet.
24| $700 billion US economic bailout|premise|"""This is not about how to bail out Wall Street."
25| $700 billion US economic bailout|conclusion|Executive pay restrictions can be passed along with $700b plan.
25| $700 billion US economic bailout|premise|"US Secretary of the Treasury Henry Paulson - ""The American people are angry about executive compensation and rightfully so."
26| $700 billion US economic bailout|conclusion|$700b plan would bail-out greedy capitalists that created crisis.
26| $700 billion US economic bailout|premise|Sen.
27| $700 billion US economic bailout|conclusion|$700b bailout could go toward excessive pay of greedy CEOs.
27| $700 billion US economic bailout|premise|"""Bankers' big pay: There are worries about controlling the mega-bucks bosses earn at the very banks being bailed out - given the view that it was Wall Street 'that got us into this mess in the first place'."
28| $700 billion US economic bailout|conclusion|$700b plan has been corruptly influenced by Wallstreet.
28| $700 billion US economic bailout|premise|"""CBS News found 21 former staffers from the Senate Banking, Housing and Urban Affairs and House Financial Services Committees are now lobbyists for financial firms."
29| $700 billion US economic bailout|conclusion|$700b plan may result in few losses or actually profit taxpayers.
29| $700 billion US economic bailout|premise|"Secretary of the Treasury Henry Paulson - ""When you look at the money that is spent to purchase assets that will be held and sold, and the price you will get for those assets will be based upon how the economy does, the pace at which the housing markets recover."
30| $700 billion US economic bailout|conclusion|$700b plan is better for economy/taxpayers than doing nothing.
30| $700 billion US economic bailout|premise|"US Secretary of Treasury Hank Paulson - ""The ultimate taxpayer protection will be the market stability provided as we remove the troubled assets from our financial system."
31| $700 billion US economic bailout|conclusion|$700b bailout saves Wallstreet by slamming taxpayers.
31| $700 billion US economic bailout|premise|"Senator Jim Bunning, Republican of Kentucky, said the plan would ""take Wall Street’s pain and spread it to the taxpayers."
32| $700 billion US economic bailout|conclusion|Bailout could cost more than $700b if mortgage assets collapse.
32| $700 billion US economic bailout|premise|"""Taxpayer burden: The government plans to buy up mortgage-backed assets at its ""maturity"" value, which is well above the current market value."
33| $700 billion US economic bailout|conclusion|$700b bailout gives treasury blank check.
33| $700 billion US economic bailout|premise|"""Treasury Sec."
35| $700 billion US economic bailout|conclusion|Taxpayer opposition to $700b plan is ill-informed.
35| $700 billion US economic bailout|premise|Taxpayer opposition to the $700b bailout plan is not well informed.
36| $700 billion US economic bailout|conclusion|Politicians should not put elections over needed bailout.
36| $700 billion US economic bailout|premise|"""the vast majority of vulnerable incumbents voted against the bill, including a slew of freshman Democrats, three of the four House members running for Senate, and almost all vulnerable Republicans."
37| $700 billion US economic bailout|conclusion|Leadership crisis is only worsened by not passing $700b plan.
37| $700 billion US economic bailout|premise|Government may lack credibility among the public.
38| $700 billion US economic bailout|conclusion|$700b bailout is unjustified over majority taxpayer opposition.
38| $700 billion US economic bailout|premise|A Bloomberg-Los Angeles Times poll of more than 1,400 Americans, found 55 percent of respondents opposed the 700b bailout plan.
39| $700 billion US economic bailout|conclusion|Government has no credibility to solve economic crisis.
39| $700 billion US economic bailout|premise|"""The Bush administration hasn't done much in the last eight years to inspire confidence in their ability to handle this -- the concern is that it will function as a corporate giveaway of historic proportions, but in the end do nothing for the economy except propping it up a little while longer."
40| $700 billion US economic bailout|conclusion|$700b bailout includes oversight/transparency.
40| $700 billion US economic bailout|premise|"Roy Blunt (R-MO) - ""We believe that all of the transparency you could possibly hope to have in a government program is here."
41| $700 billion US economic bailout|conclusion|Financial crisis requires and justifies strong executive powers.
41| $700 billion US economic bailout|premise|The Constitution of the United States is designed to allow Congress to give major power to the Executive branch, in this case the Department of Treasury, in order to respond quickly and decisively to crises.
42| $700 billion US economic bailout|conclusion|$700b plan gives unconstitutionally broad power to Treasury.
42| $700 billion US economic bailout|premise|"""Chairman Chris Dodd, D-Conn."
43| $700 billion US economic bailout|conclusion|Paulson Plan does not allow for enough Congressional oversight.
43| $700 billion US economic bailout|premise|"""the proposal actually did, of course, was explicitly rule out any oversight, plus grant immunity from future review: 'Sec."
44| $700 billion US economic bailout|conclusion|Paulson Plan justified without warrants.
44| $700 billion US economic bailout|premise|"""2."
45| $700 billion US economic bailout|conclusion|Government should buy stock in banks, not just bail them out.
45| $700 billion US economic bailout|premise|"""A more palatable approach would be for the government to drive a Warren Buffett style hard bargain, in which, rather than buying anything from banks, the government would invest in them in a form, such as purchase of newly issued preferred stock, or bonds with a long maturity, that would augment the banks' capital and thus enable banks to make more loans."
48| 2009 US economic stimulus|conclusion|Govt spending stimulates consumer spending, business growth.
48| 2009 US economic stimulus|premise|"""As President-elect Barack Obama and his economic advisers recognize, countering a deep economic recession requires an increase in government spending to offset the sharp decline in consumer outlays and business investment that is now under way."
49| 2009 US economic stimulus|conclusion|Majority of economists believe government can stimulate economy.
49| 2009 US economic stimulus|premise|"""Begin with the most fundamental question: Does the U."
50| 2009 US economic stimulus|conclusion|2009 US stimulus will create or save millions of jobs.
50| 2009 US economic stimulus|premise|"""At the core of the Recovery and Reinvestment Plan is a very simple idea: to put Americans back to work doing the work America needs done."
51| 2009 US economic stimulus|conclusion|Stimulus will succeed with good management and supplemental action.
51| 2009 US economic stimulus|premise|The right set of spending, management, and supplemental action can ensure that the stimulus is effective.
52| 2009 US economic stimulus|conclusion|Economic stimulus by government intervention always fails.
52| 2009 US economic stimulus|premise|"""Hardly anyone  is asking the most important question: Should the federal government be doing any of this?  Federal intervention rests on the presumption that officials know how to manage the economy and will use this knowledge effectively."
53| 2009 US economic stimulus|conclusion|Stimulus spending violates principles of supply-side economics.
53| 2009 US economic stimulus|premise|"""we must first recognize that the key economic activity that causes growth is not consumer spending but production."
54| 2009 US economic stimulus|conclusion|Stimulus is from taxes or debt.
54| 2009 US economic stimulus|premise|Stimulus package spends money by first taxing it out of the economy or borrowing it through bonds.
55| 2009 US economic stimulus|conclusion|New Deal did little-to-nothing to end the Depression.
55| 2009 US economic stimulus|premise|While many liberals claim that the New Deal helped stop the Great Depression, many other economists and historians argue that the New Deal only worsened the Great Depression by adding to the national debt.
56| 2009 US economic stimulus|conclusion|Stimulus is good for consumer and market confidence.
56| 2009 US economic stimulus|premise|A stimulus package adds to consumer confidence by giving, at a minimum, the impression that things are going to be OK.
57| 2009 US economic stimulus|conclusion|2009 US stimulus won't generate consumer confidence.
57| 2009 US economic stimulus|premise|"""put on your consumer hat, look at the proposed stimulus bills, ideas and notions, and ask yourself if any piece of the legislation would make you positive enough about the economy and your personal financial situation to relax and feel good."
58| 2009 US economic stimulus|conclusion|Large stimulus is appropriate for large economic crisis.
58| 2009 US economic stimulus|premise|"""Is the stimulus plan large? Yes, and with good reason."
59| 2009 US economic stimulus|conclusion|Stimulus risks being too small not too large.
59| 2009 US economic stimulus|premise|Robert Kuttner, co-editor of The American Prospect.
60| 2009 US economic stimulus|conclusion|$800 billion stimulus is just too massive.
60| 2009 US economic stimulus|premise|A $800 billion stimulus package is the largest stimulus spending bill ever devised (although there have been some tax cuts that could be considered larger).
61| 2009 US economic stimulus|conclusion|Stimulus inadequate to impact massive US economy.
61| 2009 US economic stimulus|premise|"""the capacity of even the U."
62| 2009 US economic stimulus|conclusion|Only about 10% of US stimulus goes to govt projects.
62| 2009 US economic stimulus|premise|"""you may have heard some of the critics of our plan saying that it would create mostly government jobs."
63| 2009 US economic stimulus|conclusion|No evidence that stimulus supporters just want to grow government.
63| 2009 US economic stimulus|premise|While it may be true that some supporters of the stimulus have a hidden agenda to grow government, this is mere speculation, and to oppose the legislation merely on this basis would be to overlook the broader, legitimate arguments involved in the debate.
64| 2009 US economic stimulus|conclusion|US stimulus charts path to better government programs.
64| 2009 US economic stimulus|premise|"""Looking forward beyond the stimulus, we need a very different sort of economy, one that restores a balanced form of capitalism."
65| 2009 US economic stimulus|conclusion|Government is good.
65| 2009 US economic stimulus|premise|"The idea that government is ""bad"" and that any growth in government engendered by the stimulus is subsequently ""bad"" is false."
66| 2009 US economic stimulus|conclusion|Funding government projects will stimulate jobs/economy.
66| 2009 US economic stimulus|premise|"""And then there is Sen."
67| 2009 US economic stimulus|conclusion|Stimulus will be used to grow govt bureaucracy.
67| 2009 US economic stimulus|premise|The spending in the stimulus will go toward many government programs, growing them so that they become a constant burden on tax payers and constraint for free markets.
68| 2009 US economic stimulus|conclusion|Spending provides more economic stimulus than tax cuts.
68| 2009 US economic stimulus|premise|"""Tax rebates or tax cuts will get more money into consumers’ hands quickly, but in today’s environment much of that boost will simply be saved, as people plug the holes in their finances left by the collapsing values of their houses and retirement portfolios, or just pay off debts."
69| 2009 US economic stimulus|conclusion|Americans voted for progressive thinking of 2009 US stimulus.
69| 2009 US economic stimulus|premise|"President Barack Obama - ""The notion that tax cuts alone will solve all our problems; that we can ignore fundamental challenges like energy independence and the high cost of health care, that we can somehow deal with this in piecemeal fashion and still expect our economy and our country to thrive."
70| 2009 US economic stimulus|conclusion|Tax cuts provide better economic stimulus than spending.
70| 2009 US economic stimulus|premise|"Jason Furman and Douglas Elmendorf of the Brookings Institution wrote, ""Fiscal policy implemented promptly can provide a larger near-term impetus to economic policy than monetary policy can."
71| 2009 US economic stimulus|conclusion|Majority of US stimulus is immediate to fight recession now.
71| 2009 US economic stimulus|premise|"Jim Horney, director of federal fiscal policy for the Center on Budget and Policy Priorities - ""The vast majority of what is in these two bills is pretty good stimulus."
72| 2009 US economic stimulus|conclusion|Longer-term spending is not waste.
72| 2009 US economic stimulus|premise|"""Let’s review some of the more silly arguments about the stimulus bill, starting with the notion that 'only' 75 percent of the money can be spent in the next two years, and the rest is therefore 'wasted."
73| 2009 US economic stimulus|conclusion|Much stimulus rightly goes toward long-term societal needs.
73| 2009 US economic stimulus|premise|"""what's striking is that supposedly intelligent people are horrified at the thought that, during a deep recession, government might try to help the economy by buying up-to-date equipment for the people who protect us from epidemics and infectious diseases, by hiring people to repair environmental damage on federal lands and by contracting with private companies to make federal buildings more energy-efficient."
74| 2009 US economic stimulus|conclusion|2009 US stimulus lacks short-term spending for immediate stimulus.
74| 2009 US economic stimulus|premise|"""Spending projects will take years to get under-way."
75| 2009 US economic stimulus|conclusion|Almost all government spending has some stimulus effect.
75| 2009 US economic stimulus|premise|"""Although one can debate the necessity or importance of various projects, almost any new spending will have a stimulative effect - including resodding the National Mall."
76| 2009 US economic stimulus|conclusion|Stimulus funding for unemployed ensures immediate spending.
76| 2009 US economic stimulus|premise|"""this plan will provide for extended unemployment insurance, health care and other assistance for workers and families who have lost their jobs in this recession."
77| 2009 US economic stimulus|conclusion|Stimulus lacks important tax cuts for wealthy/businesses.
77| 2009 US economic stimulus|premise|"""Some Democrats claim these transfer payments are stimulating because they go mainly to poor people, who immediately spend the money."
80| 2009 US economic stimulus|conclusion|Stimulus wisely creates jobs to help fix/update roads.
80| 2009 US economic stimulus|premise|"""it's not just the jobs that will benefit Indiana and the rest of America."
81| 2009 US economic stimulus|conclusion|US stimulus spends too much on roads and bridges.
81| 2009 US economic stimulus|premise|"""The 'off the shelf' infrastructure projects that can be funded immediately and provide immediate demand-side stimulus are almost by definition not the transformative investments we really need."
82| 2009 US economic stimulus|conclusion|Stimulus is better than consequences of no stimulus.
82| 2009 US economic stimulus|premise|"""The situation we face could not be more serious."
83| 2009 US economic stimulus|conclusion|US stimulus must be passed immediately to avoid greater crisis.
83| 2009 US economic stimulus|premise|"""I can tell you with complete confidence that endless delay or paralysis in Washington in the face of this crisis will bring only deepening disaster."
84| 2009 US economic stimulus|conclusion|Allowing recession will enable stronger economic recovery.
84| 2009 US economic stimulus|premise|"""Cut the tax rate on capital gains to 5 percent."
85| 2009 US economic stimulus|conclusion|Stimulus may not work.
85| 2009 US economic stimulus|premise|"Martin Feldstein, chairman of the Council of Economic Advisors under Ronald Reagan, wrote in January 2009, ""It is of course possible that the planned surge in government spending will fail."
86| 2009 US economic stimulus|conclusion|Fear-mongering on consequences of no US stimulus is wrong.
86| 2009 US economic stimulus|premise|"""There is no denying the seriousness of the current recession, but the specter of a still-popular president on television night after night to predict that things are going to get much, much worse is not something one would call confidence-inspiring."
87| 2009 US economic stimulus|conclusion|Adding to debt/deficit to fight recession is justified.
87| 2009 US economic stimulus|premise|"""Under normal circumstances, I would oppose this rise in the budget deficit and the higher level of government spending."
88| 2009 US economic stimulus|conclusion|2009 US stimululs can be paid for by more progressive taxes.
88| 2009 US economic stimulus|premise|"""Looking forward, we need a very different sort of economy, one that restores a balanced form of capitalism."
89| 2009 US economic stimulus|conclusion|Stimulus increases debt, inflation, interest rates, harms economy.
89| 2009 US economic stimulus|premise|"""Every penny of such a package must be borrowed, because the government is already running a $1."
90| 2009 US economic stimulus|conclusion|Spending got US into crisis, won't get it out.
90| 2009 US economic stimulus|premise|"Andrew Schiff, an investment consultant at Euro Pacific Capital said to Politico: ""All this stimulus money is geared toward getting consumers spending and borrowing again."
91| 2009 US economic stimulus|conclusion|Buy American provision will cause protectionism and further harm.
91| 2009 US economic stimulus|premise|"""Tucked within the economic stimulus bill the House passed last week was a clause requiring state and local public works agencies to buy American iron and steel for their reconstruction projects, and the Senate expanded it to all manufactured goods."
92| 2009 US economic stimulus|conclusion|A majority of Americans supported Obama's stimulus.
92| 2009 US economic stimulus|premise|"""Sixty-seven percent of the American people approve of how President Obama's handling his efforts to pass an economic stimulus bill, as opposed to 48% for Democrats in Congress and 31% for congressional Republicans."
93| 2009 US economic stimulus|conclusion|Citizens voted for change reflected in 2009 US stimulus.
93| 2009 US economic stimulus|premise|"President Barack Obama - ""The notion that tax cuts alone will solve all our problems; that we can ignore fundamental challenges like energy independence and the high cost of health care, that we can somehow deal with this in piecemeal fashion and still expect our economy and our country to thrive."
94| 2009 US economic stimulus|conclusion|American public is ambivalent about 2009 US stimulus plan.
94| 2009 US economic stimulus|premise|"""the American people are on board with the stimulus plan – sort of."
95| 2009 US economic stimulus|conclusion|2009 US stimulus accommodates Republican tax-cutting views.
95| 2009 US economic stimulus|premise|"""Obama's plan was criticized by some Democrats for including a heavy component of tax cuts; that's the Republican prescription that helped get us into these desperate straits, and voters made clear in November that it's time to try something else."
96| 2009 US economic stimulus|conclusion|2009 US stimulus needs to be effective, not bipartisan.
96| 2009 US economic stimulus|premise|"""This is not, repeat not, a time for compromise."
97| 2010 US bank tax|conclusion|It is justified to repay the debt.
97| 2010 US bank tax|premise|The U.
98| 2010 US bank tax|conclusion|Bank tax recoups taxpayer bailout of banks.
98| 2010 US bank tax|premise|"""The rationale behind the tax/fee is basically this: the banks took us to the edge of the abyss because of their excessive risk-taking."
99| 2010 US bank tax|conclusion|Bank tax recoups profits made on backs of taxpayers.
99| 2010 US bank tax|premise|"""A windfall tax is blunt, arbitrary and something supporters of free markets usually instinctively avoid."
100| 2010 US bank tax|conclusion|Bank tax compensates for damage done by banks.
100| 2010 US bank tax|premise|"""In the case of the UK, it now appears highly probable that the Government will eventually recover all the money it injected into individual banks."
101| 2010 US bank tax|conclusion|Banks are unlikely to pass tax on to consumers.
101| 2010 US bank tax|premise|The argument here is that the 50 largest banks are unlikely to want to raise prices in the faces of competition from smaller banks that are not subject to the tax.
102| 2010 US bank tax|conclusion|2010 bank tax is pure populism.
102| 2010 US bank tax|premise|"Republican National Committee Chairman Mel Martinez said on January 15, 2010: ""The basis for the bank tax is populism."
103| 2010 US bank tax|conclusion|Bailout benefited taxpayers.
103| 2010 US bank tax|premise|"""didn't taxpayers bail out the financial system, so don't taxpayers deserve the bonuses? No."
104| 2010 US bank tax|conclusion|Bailout was a mistake, so should not be repaid.
104| 2010 US bank tax|premise|"""The U."
105| 2010 US bank tax|conclusion|Bank tax will be passed on to consumers.
105| 2010 US bank tax|premise|"""The tax will not fall solely or even mainly on its desired political target, the shareholders and highly paid executives of large financial firms."
106| 2010 US bank tax|conclusion|Bank tax will help reduce large US deficit.
106| 2010 US bank tax|premise|French Finance Minister Christine Lagarde said on January 15, 2010 that U.
107| 2010 US bank tax|conclusion|2010 bank tax will raise less revenue due to evasion.
107| 2010 US bank tax|premise|"""The proposed tax will also raise less revenue than promised, again because those subject to the tax will take steps to avoid it."
108| 2010 US bank tax|conclusion|Bank tax is too small to impact deficit.
108| 2010 US bank tax|premise|"""The bigger problem, though, is conceptual: Confining the tax to repayment of TARP when we've got a massive budget deficit and when further stimulus spending is constrained because no one knows how to pay for it is, well, a huge gift to the banks."
109| 2010 US bank tax|conclusion|Bank tax counter-acts expansionary effect of bailout.
109| 2010 US bank tax|premise|"""One thing we have learned over the past couple years is that Washington is not going to let large financial institutions fail."
110| 2010 US bank tax|conclusion|2010 bank tax will deter future risk-taking by banks.
110| 2010 US bank tax|premise|"""The Obama bank levy is intended to do more than punish banks."
111| 2010 US bank tax|conclusion|Bank tax will not reduce risk-taking at banks.
111| 2010 US bank tax|premise|"""we question whether it will be structured fairly and if it truly will discourage the kinds of risky behavior that led to the financial crisis — and if that's even the proper role of this particular tax  Isn't it the role of regulation to expose and even prevent the use of the crazy derivatives that led to the recent credit crisis? It's clear that during this last crisis the markets were incapable of assessing the risk that financial institutions were taking."
112| 2010 US bank tax|conclusion|2010 bank tax puts US banks at disadvantage globally.
112| 2010 US bank tax|premise|"Republican National Committee Chairman Mel Martinez said after the announcement of the tax in January of 2010: ""This is a significant 10-year tax which may put U."
113| 2010 US bank tax|conclusion|Bank tax is not too great of a burden on banks.
113| 2010 US bank tax|premise|"""Will Obama's bank tax be that taxing for the banks?  Let's say the administration wants to raise about $100 billion over 10 years by taxing market debt."
114| 2010 US bank tax|conclusion|2010 US bank tax will kill jobs created/fostered by banks.
114| 2010 US bank tax|premise|"Massachusetts state senator and US Senate candidate Scott Brown told the Wall Street Journal on January 15, 2010 in response to the bank tax: ""opposed to higher taxes, especially in the midst of a severe recession."
115| 2010 US bank tax|conclusion|AIG bailout benefited banks.
115| 2010 US bank tax|premise|"""The banks, of course, say 'no fair."
117| 2010 US bank tax|conclusion|Bank tax unfairly targets biggest 50 banks.
117| 2010 US bank tax|premise|"""Nowhere does the bailout legislation say that the 50 biggest firms have to pay back the loans."
122| 4-team college football playoff|conclusion|4-team playoff is good way to determine champs.
122| 4-team college football playoff|premise|"""It could be possible to at least take the top four teams and play a mini-playoff."
123| 4-team college football playoff|conclusion|4-team playoff inevitabaly leads to bigger playoffs.
123| 4-team college football playoff|premise|"""The idea of a 'Plus One' playoff was voted down by the conference commissioners (plus Notre Dame’s athletic director) in their Hollywood, Fla."
124| 700 mile US Mexico border fence|conclusion|The 700 wall cannot be compared to the Berlin wall.
124| 700 mile US Mexico border fence|premise|The wall is not trapping individuals inside an area as the Berlin Wall did, but ensuring the regulation of cross-border flows.
125| 700 mile US Mexico border fence|conclusion|Building a border fence is not racism.
125| 700 mile US Mexico border fence|premise|Protecting national sovereignty and controlling borders is not racism.
126| 700 mile US Mexico border fence|conclusion|Illegal immigration is unfair to legal immigrants.
126| 700 mile US Mexico border fence|premise|It is difficult for foreigners waiting in line to immigrate to the United States to observe illegal immigrants crossing freely.
127| 700 mile US Mexico border fence|conclusion|Building a wall is not comparable to berlin's wall.
127| 700 mile US Mexico border fence|premise|The Berlin wall was intended to keep people in, the US-Mexico wall would keep people out.
128| 700 mile US Mexico border fence|conclusion|A 700 mile fence is like the Berlin Wall.
128| 700 mile US Mexico border fence|premise|A fence is a draconian measure.
129| 700 mile US Mexico border fence|conclusion|A border fence will divide border communities.
129| 700 mile US Mexico border fence|premise|"Douglas, Arizona Mayor Ray Borane ""says a fence will divide a community that has strong family ties across the border."
130| 700 mile US Mexico border fence|conclusion|A border wall will cut-off farmers and water supplies.
130| 700 mile US Mexico border fence|premise|"""The Rio Grande is the lifeblood of South Texas."
131| 700 mile US Mexico border fence|conclusion|A wall would force crossers to take more deadly routes.
131| 700 mile US Mexico border fence|premise|The fence is intentionally placed in the least dangerous border crossings, while leaving open treacherous routes.
132| 700 mile US Mexico border fence|conclusion|The 700 mile fence will help channel illegal immigrants to areas patrolled by border agents.
132| 700 mile US Mexico border fence|premise|While the barrier might not cover the entire span of the border, it will cover one-third, channeling illegal immigrants to the remaining two-thirds of the border.
133| 700 mile US Mexico border fence|conclusion|Past fences succeeded in deterring crossings over the particular sections of the border they covered.
133| 700 mile US Mexico border fence|premise|Opponents of building the 700-mile wall often cite the fact that previous fences and policing operations in the 1990s that aimed to secure heavily crossed urban stretches of the border in El Paso, Texas, and San Diego, California did not substantially reduce the in-flow of illegal immigrants overall.
134| 700 mile US Mexico border fence|conclusion|San Diego is symbol of efficacy of fence.
134| 700 mile US Mexico border fence|premise|"""."
135| 700 mile US Mexico border fence|conclusion|Many past fences have failed to stop illegal immigration only because they were meant to stop drug-trafficking.
135| 700 mile US Mexico border fence|premise|The 700-mile fence would be designed with greater focus on stopping illegal immigrants and would likely be much more effective at doing so.
136| 700 mile US Mexico border fence|conclusion|"Coupling a physical fence with new ""virtual fence"" technology will be effective."
136| 700 mile US Mexico border fence|premise|"DHS spokesman Jarrod Agen said to , ""It's beyond physical borders like fencing."
137| 700 mile US Mexico border fence|conclusion|A physical fence accompanied with border patrollers will be effective.
137| 700 mile US Mexico border fence|premise|There is no substitute for man power.
138| 700 mile US Mexico border fence|conclusion|Israeli border fence demonstrates efficacy of a wall.
138| 700 mile US Mexico border fence|premise|"""Are we not capable of building a fence like the one the Israelis have found effective in preventing terrorists from entering Israel?Similar fences in Israel have reduced terrorist attacks by up to 95%."
139| 700 mile US Mexico border fence|conclusion|A 700-mile fence is only the first step in securing the whole southern border.
139| 700 mile US Mexico border fence|premise|Many opponents of a fence point out that it would leave over 1000 miles of border without any fencing, and that it is not directly tied to needed comprehensive immigration reform.
140| 700 mile US Mexico border fence|conclusion|The difficulty of securing the border should not prevent the US from trying with a fence.
140| 700 mile US Mexico border fence|premise|Just because the 700-mile fence will be difficult to build, will encounter problems, and will not be 100% effective, does not mean that it should not be built.
141| 700 mile US Mexico border fence|conclusion|Illegal immigrants will simply go around a 700 mile fence.
141| 700 mile US Mexico border fence|premise|While the wall proposed is 700 miles long, the US-Mexico border is roughly 2,000 miles long.
142| 700 mile US Mexico border fence|conclusion|Illegal immigrants will climb over a 700-mile fence.
142| 700 mile US Mexico border fence|premise|After the construction of the San Diego fence, many illegal immigrants began crossing through the Arizona desert, which caused many of San Diego's border agents to move out there.
143| 700 mile US Mexico border fence|conclusion|Tunnels will be dug to bi-pass a 700-mile fence.
143| 700 mile US Mexico border fence|premise|Global Security.
144| 700 mile US Mexico border fence|conclusion|Boats and vehicles can be used to get around a border fence.
144| 700 mile US Mexico border fence|premise|Illegal immigrants are frequently being stuffed into cars and boats to make illegal crossing over legitimate road-crossings.
145| 700 mile US Mexico border fence|conclusion|A wall doesn't prevent crossings by false papers or visa overstays.
145| 700 mile US Mexico border fence|premise|Illegal immigrants can cross the US-Mexico border with false papers and passports or by obtaining a visa to enter the United States but with the intention to overstay the visa's time period, which amounts to illegal immigration.
146| 700 mile US Mexico border fence|conclusion|Increased border controls have not historically decreased illegal immigration.
146| 700 mile US Mexico border fence|premise|"""A study done by Wayne Cornelius, a political science professor and director of the Center for Comparative Immigration Studies at the University of California, San Diego, showed that stronger border controls have either 'no statistically significant effect' on the propensity to migrate, or actually encourage migrants to stay in the United States longer."
147| 700 mile US Mexico border fence|conclusion|Coyotes will respond to a border fence with innovative new ways to cross.
