Women should be able to have abortions.	y
same thing: self defense, tiller's abortions, and someone killing two year olds	-
A ban on abortion presents practical problems of enforcement:	y
There is no difference between abortion and and gun murder.	n
The father of an unborn child should have a say in an abortion	n
If abortion becomes illegal , it should be charged as a capital offense.	-
No abortion outside of extenuating circumstances should be permitted	n
prolife folks should agree, abortionist tiller should have been shot	-
abortionist tiller should have been shot, prolife folks should agree	-
doctors who perform illegal abortions for trivial reason are essentially the same as serial muderers	-
Resolved: It is possible to be Pro-Choice but anti-abortion	-
prolife folks should agree that abortionist tiller should have been shot	-
Fetuses are conscious in the womb and suffer during abortions	-
abortion must be free in every country	y
single issue voting on abortion, for president, for prolifers	-
a man should have the right to refuse a abortion	n
Should abortion really be allowed in America	y
Legalizing abortions leads to irresponsible sexual behavior	n
If a woman gets raped she should have the decision/right to have an abortion.	y
Pro-lifers are justified in showing gruesome images of abortions.	-
Emotional abortion for men	-
A fetus is not a "person" so can't have rights protecting it from abortion:	y
Should women have the right to an abortion	y
Bullish's position on abortion (restarted)	y
A fetus is a life from conception, therefore abortion is murder	n
I can't decide whether to be for or against abortion - Convince me to be pro-choice!	y
Everyone should stop using the euphemism "pro-choice" when referring to abortion.	-
Should abortion be legal in all 50 states of the U.S? (Before the nervous system is fully developed)	y
(Resolved)On Balance:Middleclassandrichwomenwho get abortions past their first trimester are selfish	n
To be against abortion and in favor of capital punishment is hypocritical.	-
Ultrasounds are good compromise between abortion opponents	-
Uncertainty over whether fetuses are "life" should halt abortions.	-
Women have the right to get an abortion	y
Restricted abortion should be legal	y
No woman "wants" an abortion; it is only the least bad alternative	-
Even if abortions "kill life", it can be justified as upholding a woman's life	y
If a fetus had a right to life, abortionists would be subject to murder charges	-
Why should't abortion be legal in all instances	y
abortionist tiller should have been shot... from a prolife perspective	-
abortion can be ethically justified	y
Unwanted children can be adopted; abortion is unnecessary	-
from a prolife perspective, abortionist tiller should have been shot...	-
This House believes that abortion is morally permissible.	y
Prior to an abortion on a pregnant minor, a parent/guardians must be notified and give consent*.	n
The lives of women have been destroyed by abortion, not enhanced	-
death penalty and abortion should be illegal	n
Resolved: The United States Government should make abortion illegal.	n
men have a say in abortion	-
All who claim to be Pro Life must oppose capital punishment and abortion	y
doctors who perform illegal abortions are essentially the same as serial killers	-
The right to choice/privacy (abortion) does not override the right to life	y
should abortion be restricted	n
Scientifically speaking, abortion should not be legal.	n
Adoption can be as emotionally damaging as abortion.	-
The abortion limit should be lowered to 20 weeks	n
essentially the same thing: tiller's illegal late term abortions, and someone killing two year olds	n
Most abortions are performed out of convenience	n
abortion should ge not legalize	y
Is abortion murder (no mean pics).	n
Should the United States allow people to have abortions	y
Viability is a good cut-off for when abortion is appropriate or not.	-
The use of force to prevent abortion is justified.	n
Women how have an abortion should have their tubes tied!	-
abortion is ok depending on the situation	y
On balance, abortion is immoral	n
Women don't need ultrasound to know implications of abortion.	-
The abortion limit should be set at 20 weeks	n
Ultrasounds inform mothers, may reduce abortions	-
should doctors be forced to perform abortion	-
What kind of life has a right to life? (abortion, animal rights, etc)	-
Only if Mom says so? A debate against abortion.	n
single issue voting for abortion, for president, for prolifers	-
Adoption is too risky making it a poor alternative to abortion	y
Sex selective abortion is misogyny.	n
Adoption is not the solution to abortion	n
Based on current evidence we can conclude abortion lowers crime	y
it it wrong to have an abortion	n
the topic of this debate is abortion	y
Pro-life anti-abortionists inconsistently support the death penalty.	-
abortion is wrong and kills babies	n
Roe v. Wade (the case which legalized abortion) should be held up.	-
Having an abortion should be illegal	n
Ultrasounds are about roadblocks to abortion, not info.	-
Pro-life militant groups act violently in opposition to abortion.	y
Women have the right to have an abortion.	y
Legalizing abortion defies the principle of life affirmation	y
Late-term abortion is wrong.	n
The Christian scriptures support family planning techniques such as contraception and abortion.	-
Early abortion should be legal	y
Increase in forced abortions, female infanticide, and gender imbalance	-
US 2010 health vare law restricts abortion rights	-
Men should have a say in his child's abortion.	-
Why abortion should be legal	y
Rejecting abortion and going through with pregnancies empowers women	-
Pro-abortionists dehumanize "fetuses" to get away with murder	-
Those who oppose the Death Penalty should also appose abortion on demand.	-
Medical expenses justified for ethically sensitive abortions.	y
The USFG should ban abortion	n
The legalization of elective abortion	y
abortion should be banned	n
It is contradictory to oppose abortion while supporting capital punishment.	y
Fewer women would have abortions if they knew what they were doing	-
if we allow killing similiar to partial birth abortion... accidental birth killing should be allowed	-
should abortion be legal	y
abortion should be legal	y
Should abortion be legal	y
If an abortion can be justified in any way	y
There is nothing wrong with abortion	y
An abortion kills innocents; capital punishment kills the guilty	-
Does God approve of abortion	y
Resolved: Elective abortion is prima facie morally permissible	y
should abortion be legalized	y
Banning abortion violates self-ownership.	y
Should abortion be allowed	y
Should we legalize abortion	y
abortion: should fetus have rights	n
Condoms help Catholics avoid the prospect of abortion.	-
abortion, responsibilities, and analogies	-
Mandatory ultrasounds before abortions	-
abortion should be illegal everywhere	n
sould abortion be legal	y
should abortion be/stay legal	y
Experiments on fetuses intended for abortion	-
Is abortion ok? (should it be legal?)	y
THW legalise abortion.	n
Girlfriend is questioning abortion	y
Socialization of the womb (e.g. anti-abortion laws).	-
Live birth abortion should stay illegal.	n
I"m anti abortion, Chnage my mind.	n
abortion, responsibility, and analogies	-
abortion for raped teenagers	y
Taxpayer funded abortion	y
Emergency abortions exempted from ultrasound requirement.	-
A woman has a right to an abortion .	y
should abortion be legal at all	y
Is abortion good for a woman	y
Taxpayer funded abortion.	-
Taxpayer funded abortions.	-
Elective abortion should be legalized	y
Ultrasounds don't convince women against abortion.	-
abortion should be illegalized	n
Man's right to abortion	n
abortion is immoral	n
is abortion moral	y
Is abortion moral	y
Should abortion be illegal	-
should abortion be illegal	n
abortion should be illegal	n
The Hippocratic oath forbids doctors from performing abortions	-
Poem about abortion	-
i think abortion is bad	n
abortion, case closed	y
Nothing wrong with persuading women against abortion.	-
is abortion a good thing	y
is abortion murder	n
abortion is murder	n
ban partial birth abortions	n
This house supports abortion	y
Is abortion right	y
is abortion right or wrong	y
why abortion is right	y
Is abortion OK	y
is abortion ok	y
for abortion/ against abortion	y
Should Financial abortion	-
i abortion wrong	n
abortion is wrong	n
Legalize: Sex selective abortion	y
Christians on abortion	y
Is abortion bad	n
abortion legal or illegal	y
abortion right or wrong	y
partial birth abortion	y
Making abortion illegal.	n
Elective abortion.	y
abortion (redone)	y
Regarding third-trimester abortions	y
Prochoice is proabortion.	y
Illegalize abortion	n
legalizing abortion	y
Legalizing abortion	y
abortion funds	y
abortion out!	-
tobacco rights/abortion	-
abortions	y
abortion	y
abortion..	y
