topic_index	for_arguments	against_arguments
2	['conduct no rounds are dropped but i think it is clear from the quality of the debate the argumentation and the spelling and grammar that the pro made a mockery of this debate ', 'as a last ditch effort the pro attempts to characterize thomsons burglar analogy as faulty by saying that leaving a door open in a dangerous neighborhood is not tantamount the act of having sex ', 'this seems like the kind of plan that one would submit for decriminalizing marijuana or drugs or some other practice that is already against the law ', 'primarily we must see that there really is no such thing as a passive action ', 'on this rather bizarre argument from the pro that if there is an accident that attaches a victim to a wrong doers body no would would argue that the wrong doer should kill the innocent victim ', 'to quickly address the bop argmentation there is nothing that the pro has provided that really substantially answers the question of why we should accept this rather vague notion that it should be illegal to have an abortion during the first tri mester but that this law should not be pursued ', 'the pro provides no solid reasoning as to why we should accept this resolution ', 'there is no formalized argumentation and the bop is not upheld ', 'my point here is that throughout the argumentation you have been presented with there is really no substantiation as to why we should follow this sort of plan ', 'however even if you do not buy this distinction the pro does not argue how this negates the idea that a fetus does not posses rights to its mothers body ', 'however if we further look at this point the act of leavingt ones door open is active ']	
2	['at the point where a fetus is viable it is certain that it is a person and deserves all the rights and duties afforded to any other human ', 'however after praising that idea my opponent does not reject the idea that a law shod be instituted that would make it illegal though not pursuable for a woman to have an abortion ', 'even if a person engages in risky activity by livin in a dangerous neighborhood and leaves her door open or has sexual intercourse without protection if a burglar enters that persons house or an egg is fertilized the person is in no way obligated ot facillitate the needs of the burglar or provide a comfotable home for a fetus for nine months ', 'my opponent is going to try in his last attempt to defend his position that the law is not enforcable and therefore the consequences of this law are not as i portray them ', 'so with the preceding conclusion that you the judge are going to vote for the con let me further explain why abortion should not only be legal in the first trimester but is also morally permissible ', 'and at the point where we recognize that it would be unjust for a government to enforce a law of such kind we must reject the idea of a ceremonial law that states the same thing illegal ', 'a persons sovereignty over their own body rtrumps any right to life an unfeeling clump of cells has even if you afford that clump of cells the exact same rights as a human being a point that my opponent has failed to argue ', 'in the case of abortion it cis clear that if a fetus is not a person because it lacks viability during he firt trimester we must agree that the act of abortion does not infringe uon the rights of anotherhuman being ', 'however as my opponent would like to consider those his arguments we can go from there ']	
2	['using this conception of the law and justice i will argue that abortion should not be illegal in the sense that abortion does not infringe upon a fetus rights if they indeed have any in such a manner that it constitutes law to prevent it ', 'i feel like there was not any formalized argumentation from my opponent to start this debate so i fee like this is a chance for me to present an opening statement of sorts that explains where my argumentation in this debate is going to go ', 'in negating this resolution i will argue specifically that the legality of an action comes form the idea that ones rights end where anothers begin ']	
2		['as the pregnancy continues she assumes the issue more and more by not abortin when it is at least morally grayer ', 'i can understand if con thinks I am less persuative but my impression is that he is acting as if there is something more quantitative that I am missing ', 'no sane person would argue that the wrong doer should be able to kill the victim ', 'i do not see how con thinks the best interpretation is his guidelines because it is just contrary to good sensibilities of interptation and application ', 'he did not address my assumption of the risk point at least directly ', ' claim coming from the pro is that there is no way to easily identify person hood ', 'i suppose we could take these standards being argued by myself and con as blurry ', 'plus if i were to want to get technical and play dirty it is not like burglars are without rights ', 'with sex the woman must understand that she is causing a sitaution where someone at least a putative someone will become dependant upon her for actions that she took ', 'perhaps this is sufficient for a secular mindset to not grant rights to that person but there is no necessary moral reasons we coud nt go further back ', 'he can disagree but he seems to be acting as if there is more I am not addressing that i in fact am addressing ']
2		['but we recognize the moral ambiguities and other considerations i gave in my first post and make the laws have no legal consequence ', 'so as a matter of deference to not wanting to kill people we should ban abortion ', 'I am not sure why con says i have not provided argumentation ']
2		['and the last reason it should be illegal in principal is because the mother assumed the risk of pregnancy ', 'the common arguments in favor of abortion should be used here as holistic approach to why she should be able to decide given the various moral considerations involved ', 'the pro and con about human life here are enough to say in principle we should defer to human life but not clear enough to make any meaningful punishments for it ', 'but on the other hand the earliest cell does meet the requirements for what would constitute an organism albeit it would probably be viewed as more like a parasitic organism given it must live off of the mother ', ' aside from rape and mothers health abortion should be illegal in the first trimester but not investigated nor punished ', 'i would take that same reasoning though and argue that it is such a strong consideration that it should at least be illegal albeit with no legal consequences ', 'while the mother assumed the risk of pregnancy she may have tried her best not to get pregnant and got pregnant anyways ']
3	['i extend my arguments ']	
3	['and i have another point if abortion is legal in rape etc ', 'you are arguing the pro side which means that you support the initial claim i as con am pointing out that even if i agreed with your ideas on the morality of abortion i do not putting a non punitive law in effect is useless ', ' then i bet a lot of women would claim to be raped by someone in order to get an abortion ', 'and i would prefer to have an abortion than to have a child raised in poor possibly abusive circumstances ', 'it is an incorrect assumption to assume that everyone who wants an abortion will be able to afford a baby ', 'many people do not have enough money or time to care for children ', 'my point was that your main topic of the debate does not make sense because laws with no punishment will not be followed as strictly as laws that do have punishment ']	
3	['being pro life is when you care more about than s encrypted  ', 'nih has a great article about the science of it nerve endings examples comparisons at this link that is a big number ', 'for example imagine that pranking your least favorite teacher at school was not allowed but you would not get any punishment or email sent home if you did it ', 'if it is banned after  weeks these people will have to spend a lot of their time and income on having the baby and then are more likely to qualify for programs that help the economically disadvantaged costing the defecit more money ', 'I am sorry to say this but if there is no consequence people will do whatever ', 'teen mothers can be subject to more bullying and do not have as many opportunities either vocational or education or social ', 'i can testify to that with some of my own experiences with orphaned abandoned or surrendered kids ', 'people should not have to give up the freedoms of being their age to take care of a baby they do not want ', 'this increases the number of taxes people have to pay and is economically harder on the nation because taxes will rise ']	
3		['and again I am sure if you ask any of those in those poverty situations if they would have rather been aborted almost none of htem would say yes ', 'and it is not truly ineffective as when things like that are stated as a matter of principle it does affect their thinking ', 'i do not think it is pointless though for all the reasons i gave above as a matter of principle ', 'at first glance it might seem con is arguing that if we want abortion to be hindered we have to have teeth to the laws ', 'but given she does bring it up i would argue we should defer to when the infants feel pain ', 'but there is more than that if we argue te principles involved ', 'at least it has no bearing given i did not contest or say otherwise ', 'if we have to use pain killers to because abortions without pain which i admit are possible that should tell us something about the morality of what they are doing ', 'con really had no point in bring up that babies feel no pain as i did not contest or says othewise ']
3		['could not it be said that the wrong doer should be forced to give that person blood and maybe even a kidney at least as long as the wrong doer would not die ', 'and the last reason it should be illegal in principal is because the mother assumed the risk of pregnancy ', 'also while this does not apply at first as the pregnancy continues the mother assumes the fact that the pregnancy continues to exist and she is not aborting when it is morally grayer ', 'but on the other hand the earliest cell does meet the requirements for what would constitute an organism albeit it could probably be viewed as more like a parasitic organism given it must live off of the mother ', 'the common arguments in favor of abortion should be used here as holistic approach to why she should be able to decide given the various moral considerations involved ', 'i would take that same reasoning though and argue that it is such a strong consideration that it should at least be illegal albeit with no legal consequences ', 'why should mothers liberty continue to be hindered due to someone who came as a burglar to begin with ', 'the pro and con about human life here are enough to say in principle we should defer to human life but not clear enough to make any meaningful punishments for it ', 'it is unclear there as it could be said to be with personhood ', 'the person who caused the crash should not be able to evict the victim by tossing them to sea or killing them ', 'you could replace planes and islands with cars and the wrong doers home ', 'they are sustained by your kidneys and need them for awihle to live ', 'hardly no one would say the person who caused the accident should be able to kill the victim ']
5	['even if a women decided to choose life she may be subjected to putting her child in the hands of the man who attacked her ', 'in the case of incest the child is at a high risk for defects and disorders something that would bring pain and suffering to both the mother and the child ', 'the adoption system in the you s is not the best either ']	
5	['the government should not force women to carry the product of their attack to term unless they want too which a completely different story ', 'i appluad the women who are strong enough to keep the child but i do not frown upon those who make their choice of abortion when the pain and suffering is too great ', 'imagine every shred of your safety and security being torn to shreds behind a dumpster in the middle of the night ']	
5		['i also know keeping the baby from the attacker is a crazy idea but i think the baby deserves the right to live like i said you could either have the baby and give it up for adoption or let someone else carry the baby and raise it up as their own ', 'i know what rape is like I have been raped it is hard to get over but if i had a child from the attacker i would keep it ', 'if i had an baby from my attacker and had an abortion i would not be able to live with myself after that ']
5		['i do not think abortion should be legal because no matter if it is unwanted you should give it up for adoption ', 'I am sixteen years old and i believe abortion is bad and unfair to the new life that you are bringing to the world ', 'you killing a baby is something you will have to live with for the rest of your life ']
6	['imagine if you got raped and pregnant then you had to carry that baby for nine months ', 'i am against killing a baby if you are just playing around ', 'i think that abortion should be legal if you have been raped by a relative or a random stranger ']	
6		['pro forfeited the entire debate ']
6		['if pro does not want to debate i will take points from full a concession ']
6		[]
6		[]
7	['I am afraid i do not understand what my opponent wanted to communicate in the last round apart from the ad hominem remarks ']	
7	['therefore a that carries no penalties for its violators would be just a demonstration of holier than thou attitude ', 'in a free country people in the minority are required to follow the laws set by the majority or face the penalties ', 'even assuming that this resolution would accurately reflect their views in pluralistic society those who disagree with the majority are still entitled to their own opinions ']	
7	[' the main difference between successful western countries and oriental despotisms is the rule of law with a clear boundary between legal and illegal ']	
7		['and not even getting into much of anything in terms of actual substance in the debate for why it should or should not be that way etc ', 'con is just ranting it seems like about things that strike unjust to him but reading too much into the things to begin with and then blowing htem out of proportion ', 'but again I have said nothing that would indicate this ']
7		['it also strengthens our system because it shows that we can be against something in principle but it is not like we do not understand the countervailing considerations and have our laws reflect that accordingly ', 'the laws would be clear abortion is illegal but there are no consequences for violating them ', 'while i respect old chinese proverbs and such i do not see the point in that saying ']
7		['and the last reason it should be illegal in principal is because the mother assumed the risk of pregnancy ', 'the pro and con about human life here are enough to say in principle we should defer to human life but not clear enough to make any meaningful punishments for it ', 'the common arguments in favor of abortion should be used here as holistic approach to why she should be able to decide given the various moral considerations involved ', 'but on the other hand the earliest cell does meet the requirements for what would constitute an organism albeit it would probably be viewed as more like a parasitic organism given it must live off of the mother ', 'i would take that same reasoning though and argue that it is such a strong consideration that it should at least be illegal albeit with no legal consequences ', 'while the mother assumed the risk of pregnancy she may have tried her best not to get pregnant and got pregnant anyways ', 'aside from rape abortion should be illegal in the first trimester but not investigated nor punished ']
8	['ok let us stick to the argument at hand the question is not whether or not i should have engaged in sexual activity ']	
8	['if i am old enough to engage in sexual activity why should i not decide whether or not to abort ']	
8	['the very fact that there is a age restriction is why people abort ilegally ']	
8	['I am sure there are people who are legally obligated to report a loss of life ']	
8	['its individual such as yourself that can not take any decisions on their own that needs constant validation that makes the rest of us look bad ']	
8		['you parents might actually be willing to support you if you knew ']
8		[]
8		['there is an age restriction because some parents might not know what goes on and what if somethings goes wrong and the child dies they will be left in the dark as to what happened for the child to die ']
8		[]
9	['and for something to be a law it must be enforced ', 'since my opponent did not offer a definition of a law i thought it would be prudent to do so ', 'the principles and regulations established in a community by some authority and applicable to its people whether in the form of legislation or of custom and policies recognized and enforced by judicial decision ']	
9	['why spend the money to create a law if you have no intention to enforce the law ', 'it would have been nice if she could have explained what she was trying to say ', 'i am unable to decipher what my opponent is saying here ']	
9	['it costs money that could be better spent on programs that provide benefits to society ', 'if as my opponent says then it only makes sense that the law should be enforced ', ' a law that is not enforced is a waste of taxpayer money ']	
9		['there is no reason we can not have laws that are not enforced no matter what is customary ', 'it makes you wonder about whether he really has much to say in terms of substance at all ', 'semantics are always beside the point ']
9		['could not it be said that the wrong doer should be forced to give that person blood and maybe even a kidney at least as long as the wrong doer would not die ', 'and the last reason it should be illegal in principal is because the mother assumed the risk of pregnancy ', 'also while this does not apply at first as the pregnancy continues the mother assumes the fact that the pregnancy continues to exist and she is not aborting when it is morally grayer ', 'but on the other hand the earliest cell does meet the requirements for what would constitute an organism albeit it could probably be viewed as more like a parasitic organism given it must live off of the mother ', 'the common arguments in favor of abortion should be used here as holistic approach to why she should be able to decide given the various moral considerations involved ', 'i would take that same reasoning though and argue that it is such a strong consideration that it should at least be illegal albeit with no legal consequences ', 'why should mothers liberty continue to be hindered due to someone who came as a burglar to begin with ', 'the pro and con about human life here are enough to say in principle we should defer to human life but not clear enough to make any meaningful punishments for it ', 'it is unclear there as it could be said to be with personhood ', 'the person who caused the crash should not be able to evict the victim by tossing them to sea or killing them ', 'you could replace planes and islands with cars and the wrong doers home ', ' aside from rape and mothers health and perhaps fetal defect abortion should be illegal including the first trimester but not investigated nor punished ', 'they are sustained by your kidneys and need them for awihle to live ']
9		['it would reflect that we see it as wrong but that we also recognize the difficulties involved so we do not wish to punish it ', 'the cost to make that sort of law would be de minimus in the bigger picture ', 'that could be argued to include money we could spend on something else ']
10	['not only is it in bad taste to characterize your opponent either specifically or in the general sense of people who disagree with you it is not a valid means of argument ', 'thus if minimal violence is used against the fetus in an abortion the procedure does not violate its rights ', 'pros argument would lead to the conclusion that we have an obligation to build sentient robots that can engage in discourse and thus have a moral duty toward metals that can be mined from the earth ', 'patient dichotomy does not matter because i am contending that we are not acting immorally toward the fetus not that we do not have to behave morally toward it ', 'if a child assaulted someone this would certainly be grounds for that person to stop taking care of it ', 'construing abortion as the use of a fetus as a means to have sex without giving birth is a rather twisted interpretation of my ethical approach ', 'in his continued unsupported assertion of the positive right to life pro points out that he has a right not to be placed in a volcano because he cannot survive there ', 'i accept pros formulation of my argument as reasonably fair though he seems to have misunderstood it at points as i will discuss ', 'children qua children are not violating anyones rights simply by existing while this may very well be the case for a fetus ', 'another substantial issue with this point is that even if the born do have the right to life and this has hardly been proven it would not necessarily mean fetuses do too ', 'this is just broadening the meaning of the word use beyond its relevance to the topic ', 'an ss officer concedes that his position is morally invalid by refusing to debate it ', 'in my original context the word use referred only to using a body as a physical instrument a life support system specifically ', ' final comment on fetal innocence i am not going to make new comments on this because it is not part of pros offensive but i will remind readers that i specifically addressed pros point about active and passive rights violations in my affirmative case under  ', 'even if this was not the case i have attacked positive rights in every round of this debate and i proposed my own coherent moral theory which allows for abortion ']	
10	[' contra positive obligations again pro offers no proof whatsoever for his conclusion that children are entitled to something so i could counter that point just be saying no they do not ', 'this is an issue that is brought up in the first few pages of every basic ethics book and yet frequently overlooked by those who understand the finer points inside and out ', 'introduction trents argument is well presented and he defends his points rigorously but he is off the mark on what the resolution asks for ', 'however i do not accept that the right to life is included among these rights and that was not a requirement ', 'my detailed analysis of what rights human beings have which does not include a positive right to life greatly outweighs pros unsupported assertion ', 'pro after all is the one trying to establish a normative claim that abortion is immoral given our assumptions and he has offered no normative analysis ', 'these restraints on behavior can be called moral rules if morality is to have any meaning it is the rules which constrain our actions toward one another ', 'in my affirmative i made an argument against the possibility of positive rights which i will defend in my closing argument ', 'i invite the audience to reread pros  in his own words he does not argue that humans have a right to life he only argues that humans at all stages of development have the same rights ', 'no positive right to life was established in the affirmative arguments of this debate and i was the only one who defended any rights at all negative rights ', 'I will go through his premises and conclusions and give my criticisms then offer my own points in response ', 'i established in my affirmative argument that it is justifiable to use force to end a rights violation a contention i will defend in my closing ', 'once again his argument is very strong but not relevant to affirming the resolution we have already assumed this premise ']	
10	[' the nonaggression principle the conclusion from  and  is that we may not violate the property rights of other people if we hold discourse to be a rational means of normative inquiry ', 'if you and i cannot use the same object it is necessary to fairly determine who shall have priority ', 'there is not and could not be an agreement implicit or otherwise that he may remain on the truck ', 'we ourselves are therefore no longer operating within the bounds of rational discourse and our victim is justified in taking action against us to defend his rights ', 'it is especially noteworthy that without the assumption of initial freedom debating norms becomes absurd ', 'if i agreed to work for you for a year for free and then change my mind the most you can do is demand material property as compensation you cannot enslave me without aggressing against my rights ', 'this argument is used to justify property in the traditional sense of material possessions as well but for the purpose of the debate i will include only the argument for ownership of one s body ', ' this point can be confusing because there is no direct action taken to violate the mother s rights ', 'hoppe makes this argument but it is considered most significant by roger pilon who argues that we cannot deny the premises that we presuppose merely by acting ', 'if a person does not consent to our use of his body and we proceed to use him anyway we are violating his rights and the nap ', 'if a were unable to communicate with b he could still justifiably remove a from his property using the minimal necessary force ', 'through our rejection of the principle of nonviolence we have lost our claim to negative rights ', 'the existence of such a right would automatically violate the negative right of self ownership of someone else through binding him to act in a certain way and would therefore be unacceptable ']	
10	['unlike most other pro choice arguments it is not based on whether the fetus is a person so i will not be contesting that point i am skeptical as to whether the fetus can be considered a member of the moral community but i see this as nonessential ', 'i believe that a person is the sole owner of his or her body and has total discretion in its use ', 'i accept trent hs challenge on the morality of abortion ']	
10		['the argument i actually made i essentially made the following argument in my affirmative speech that does not beg the question on positive rights but justifiably assumes their existence from moral experience lest i be charged with only arguing for positive rights in this conclusion if born children have a right to assistance or a positive right to life from their parents and unborn children have the same rights that born children have it follows that unborn children have a right to assistance from their parents ', 'if we can generally trust our five empirical senses even though we only assume they give us reliable information about the world then why not with the same confidence trust our moral sense that says persons are valuable and have intrinsic rights ', 'i do not feel any obligation to defend the first premise born children have a right to assistance from their parents because it seems obviously true to anyone with moral reasoning abilities ', 'but if you thought that the baby s right to be fed is incoherent because it denied her parent s so called right to self ownership and therefore it was moral for them to care for a virtual baby instead of their own child then i can confidently say that your moral sense is simply broken ', 'the declaration boldly states without need of philosophical justification the inherent dignity and the equal and inalienable rights of all members of the human family is the foundation of freedom justice and peace in the world everyone has the right to life liberty and security of person ', 'con does not dispute the humanity or equality of rights present in the unborn because it was the debate resolution but he instead goes after a much larger metaphysical target for his rebuttal ', 'consider the following true story march   a south korean couple arrested for allowing their baby to starve to death had been raising an online child state media reported citing police sources ', 'therefore infants who are incapable of rational discourse but whose growth and development is necessary for it must be kept safe until they can fend for and protect themselves ', 'con is arguing for the ethical theory known as voluntarism or the claim that i have no duty to aid anyone else unless i freely say i want to aid them ', 'consider the universal declaration of human rights issued by the united nations just a few years after the unthinkable crime of the holocaust ', 'i contend that the right to life for persons is as self evidently true as the wrongness of trivial discrimination among persons ']
10		['because the woman has caused the fetus to need the use of her body and because pregnancy is an ordinary way we provide care to fetal persons unlike general organ donation then she is obligated to provide that care ', 'after all if i presented an argument in defense of concentration camp victims right to life to an ss officer while imprisoned at auschwitz my argument would still be correct even though i have no real freedom to present it or have it rationally considered ', 'we may not violate the property rights of other people if we hold discourse to be a rational means of normative inquiry ', 'but i provided compelling evidence that a fetus is a person and therefore this person would have property rights over his own body that an abortionist may compromise ', 'i believe con s argument fails to justify abortion rights because it requires us to assume the truth of premises that are even more controversial than the conclusion of the argument ', 'bu this clearly seems to be false and i can provide several examples to show that property rights are routinely curtailed in the interest of more compelling rights ', 'moral patients like animals fetuses infants the handicapped ecosystems or even future generations may not be able to act morally themselves but their nature may still require us to act morally towards them even if no contractual arrangement is arranged between either party ', 'the existence of such a right would automatically violate the negative right of self ownership of someone else through binding him to act in a certain way and would therefore be unacceptable ', 'when conducting an argument the parties only assume that laws of logic such as a a or a statement cannot be true and false at the same time in the same sense are true ', 'point  freedom and arguments while premise one is obviously true it is not true that an argument itself depends on the freedom of the arguers premise two ', 'if you believe that this baby has a positive right to be cared for because they were created by a moral agent then i cannot see how a fetus is not entitled to similar care ', ' i own my speech intellectual property and the body that utters it but the you s supreme court ruled in  that even a basic freedom like speech can be curtailed in the interest of public safety ', 'these rights can never be violated if rational discourse is to be maintained ']
10		['pain perception some humans such as those in comas or the disabled do not feel pain but we recognize their general right to live ', 'there is no doubt that from the first moments of its existence an embryo conceived from human sperm and eggs is a human being and the same is true of the most profoundly and irreparably intellectually disabled human being even of an infant who is born anencephalic literally without a brain ', ' human fetuses have a right to live   premise  abortion directly kills an innocent human being  abortion violates the fetus right to life and is therefore immoral   con may argue that the unborn child s right to life is not violated because they have no right to use their mother s body without her consent ', 'as philosopher francis beckwith argues the pro life view is that human beings are persons in community and have certain natural obligations as members of their community that arise from their roles as mother father citizen child and so on ', 'while children may not have a right to extraordinary care like the donation of a parent s organs pregnancy is the universal means to provide unborn humans with the basic necessities of food water and shelter ', 'they claim that the ability to feel pain have rational thought or live independently outside of the womb are necessary conditions for personhood that fetuses lack ', 'a human fetus after all is simply a human being at a very early stage in his or her development ', 'david boonin author of a defense of abortion writes perhaps the most straight forward relation between you and me on the one hand and every human fetus on the other is this all are living members of the same species homo sapiens ', ' finally even at the earliest stages a human embryo is a whole human organism on a path of self directed development ', 'in contrast many animals for example pigs feel pain but are not given the same right to life that human beings have ', '  the right to live and receive care from their parents is not dependent on the born or unborn child s level of development or degree of dependency but on his or her identity as a member of the human species ', 'premise  fetuses are human beings or members of our species this premise is held without significant controversy in scientific philosophical and legal arenas ', 'for example embryology textbooks used in medical schools affirm that fertilization a k a conception is the first landmark in the development of a human being ']
10		['con will argue that the fetus is a person with said rights but that abortion is still morally acceptable ']
15	['so i can just as easily say to pro that if a man truly wanted a woman to have his baby he could have should have had sex only in a legal or spiritual commitment such as marriage where both parties agreed to have a baby should pregnancy be the consequence of their actions ', 'first of all it is amusing how the house has come to represent the mother when originally the house represented the father pro said in  if i had your dog in my house would i be able to do with it whatever I would like ', 'if a woman was hired to be a surrogate mother and upon childbirth did not want to give up the child she would be under violation of a reproductive contract ', 'he has ignored my entire argument which has been that the dog cannot represent the fetus because a dog is a living entity outside of myself whereas a fetus is not a living entity outside of the mother ', 'therefore even if one was inviting the consequence of pregnancy this debate is once again not about whether abortion is right or wrong but whether or not a male has any right to force a woman to carry a child to term ', 'pro then said we have already said in the resolution that the mothers health and therefore body does not have a bearing because this is a ', 'yes i agree that contraceptives are for those who want to enjoy the physical pleasures of sex in a responsible way to not transmit disease or result in an unwanted pregnancy ', 'the father is essentially useless once fertilization occurs and even that happens as a result of his ejaculated sperm the father does not do anything himself to fertilize the egg that all happens within the mothers body ', ' just because the risks associated with the average pregnancy may not fall under the category of a does not mean that other health concerns are not elevated in general in association with pregnancy ', 'when a child is a fetus the father has no responsibilities they all lie with the mother whom is carrying it ', 'because abortion is legal and not the subject of this debate we must accept that abortion is an alternative for those who get pregnant and consider abortion a viable option ', ' she is the one who gains weight and other body defects she is the one who gives birth and she is the one on which the fetus relies for survival etc ', ' pro says the house in the analogy represents the mothers body ']	
